Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Potion Speed,Jode,1,1,1,2,3,4,5
Inferior Glyph of Potion Speed,Notade,1,5,1,2,3,4,5
Petty Glyph of Potion Speed,Ode,2,10,1,2,3,4,5
Slight Glyph of Potion Speed,Tade,2,15,1,2,3,4,5
Minor Glyph of Potion Speed,Jayde,3,20,1,2,3,4,5
Lesser Glyph of Potion Speed,Edode,3,25,1,2,3,4,5
Moderate Glyph of Potion Speed,Pojode,4,30,1,2,3,4,5
Average Glyph of Potion Speed,Rekude,4,35,1,2,3,4,5
Strong Glyph of Potion Speed,Hade,5,40,1,2,3,4,5
Major Glyph of Potion Speed,Idode,5,CP10,1,2,3,4,5
Greater Glyph of Potion Speed,Pode,6,CP30,1,2,3,4,5
Grand Glyph of Potion Speed,Kedeko,7,CP50,1,2,3,4,5
Splendid Glyph of Potion Speed,Rede,8,CP70,1,2,3,4,5
Monumental Glyph of Potion Speed,Kude,9,CP100,1,2,3,4,5
Superb Glyph of Potion Speed,Jehade,10,CP150,1,2,3,4,5
Truly Superb Glyph of Potion Speed,Itade,10,CP160,1,2,3,4,5
