Glyph,Potency Rune,Potency Skill,Glyph Level,Aspect Rune
Ta,Jejota,Denata,Rekuta,Kuta
Trifling Glyph of Stamina,Jora,1,1,70,75,80,84,91
Inferior Glyph of Stamina,Porade,1,5,82,86,93,98,107
Petty Glyph of Stamina,Jera,2,10,95,100,109,114,124
Slight Glyph of Stamina,Jejora,2,15,111,116,126,133,144
Minor Glyph of Stamina,Odra,3,20,128,135,146,154,166
Lesser Glyph of Stamina,Pojora,3,25,148,156,168,178,192
Moderate Glyph of Stamina,Edora,4,30,170,180,194,204,221
Average Glyph of Stamina,Jaera,4,35,196,206,223,235,255
Strong Glyph of Stamina,Pora,5,40,225,237,257,270,293
Major Glyph of Stamina,Denara,5,CP10,259,272,295,311,337
Greater Glyph of Stamina,Rera,6,CP30,297,313,339,356,386
Grand Glyph of Stamina,Derado,7,CP50,341,358,388,409,443
Splendid Glyph of Stamina,Rekura,8,CP70,390,411,445,468,507
Monumental Glyph of Stamina,Kura,9,CP100,447,470,509,536,581
Superb Glyph of Stamina,Rejera,10,CP150,585,615,666,702,761
Truly Superb Glyph of Stamina,Repora,10,CP160,668,704,763,802,868
