Class Script Scraps
Source,Number of Scraps Rewarded
Complete a Trial,"1 on Normal, 2 on Veteran"
Open a Trial weekly reward coffer,"1 on Normal, 2 on Veteran, 4 on Veteran Hard Mode"
Appear on weekly Trial leaderboard,5 per character
Complete a random daily Dungeon,"1 on Normal, 2 on Veteran"
Complete an Arena,"1 on Normal, 3 on Veteran (one completion per day per account)"
Appear on weekly Arena leaderboard,5 per character
Open a daily Battleground reward coffer,1
Complete an Infinite Archive arc,Can drop from Muniment Chest after defeating Tho'at in any Arc.
Complete a Master Writ,1 per day per account
Open a Recapture the Elder Scroll quest reward coffer,4 per day per account
Be crowned Emperor of Cyrodiil,25
