Grimoire,Effects
Elemental Explosion,Elemental Explosion (Magical Explosion),Deals 8225 Magic Damage to enemies.
Mender's Bond,Mender's Bond (Magical Bond),"Grant's the ally magical thorns which deal 440 Magic Damage to attackers, scaling off the ally's stats."
Shield Throw,Shield Throw (Magical Throw),Deals 4290 Magic Damage to an enemy.
Smash,Smash (Magical Smash),Deals 4133 Magic Damage to enemies. Beneficial Signature and Affix scripts only apply to you.
Traveling Knife,Traveling Knife (Magic Knife),Deals 2014 Magic Damage to an enemy and 3022 Magic Damage to enemies between you and them on return.
Wield Soul,Wield Soul (Magical Soul),Deals 5607 Magic Damage to an enemy. Beneficial Signature and Affix scripts only apply to you.
Soul Burst,Soul Burst (Magical Burst),Deals 3777 Magic Damage to enemies. Beneficial Signature and Affix scripts only apply to you.
Ulfsild's Contingency,Ulfsild's Contingency (Magical Contingency),Deals 4155 Magic Damage to enemies. Beneficial Signature and Affix scripts only apply to you.
Banner Bearer,Banner Bearer (Magical Banner),"Increases Magical damage done by 6%. Reduce your Health, Magicka, and Stamina Recovery by 33%."
Trample,Trample (Magical Trample),Deals 6233 Magic Damage to all enemies.
