Week,Vendor,,Name,Type,Cost,Date
2024/06/04
23,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-primary-Poison.png,Poison Damage,1 Focus script,"First: 40,000 Later: 8,000",2024/06/04
23,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-secondary-Shield Mastery.png,Knight's Valor,2 Signature script,"First: 60,000 Later: 12,000",2024/06/04
23,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-tertiary-Interrupt.png,Interrupt,3 Affix script,"First: 20,000 Later: 4,000",2024/06/04
23,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-primary-Bleeding.png,Bleed Damage,1 Focus script,"First: 15,000 Later: 3,000",2024/06/04
23,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-primary-Immobilized.png,Immobilize,1 Focus script,"First: 15,000 Later: 3,000",2024/06/04
23,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-secondary-Break Snare.png,Crusader's Defiance,2 Signature script,"First: 20,000 Later: 4,000",2024/06/04
23,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Berserk.png,Berserk,3 Affix script,"First: 10,000 Later: 2,000",2024/06/04
2024/06/11
24,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-primary-Disease.png,Disease Damage,1 Focus script,"First: 40,000 Later: 8,000",2024/06/11
24,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-primary-Gain Ultimate.png,Generate Ultimate,1 Focus script,"First: 40,000 Later: 8,000",2024/06/11
24,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-secondary-Live Steal.png,Leeching Thirst,2 Signature script,"First: 60,000 Later: 12,000",2024/06/11
24,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-tertiary-Savage Prophecy.png,Savagery and Prophecy,3 Affix script,"First: 20,000 Later: 4,000",2024/06/11
24,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-primary-Multihit.png,Multi-Target,1 Focus script,"First: 15,000 Later: 3,000",2024/06/11
24,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-secondary-Damage Reduction.png,Gladiator's Tenacity,2 Signature script,"First: 20,000 Later: 4,000",2024/06/11
24,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Expedition.png,Expedition,3 Affix script,"First: 10,000 Later: 2,000",2024/06/11
24,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Mangle.png,Mangle,3 Affix script,"First: 10,000 Later: 2,000",2024/06/11
2024/06/18
25,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-primary-Bleeding.png,Bleed Damage,1 Focus script,"First: 40,000 Later: 8,000",2024/06/18
25,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-secondary-Immobilize.png,Immobilizing Strike,2 Signature script,"First: 60,000 Later: 12,000",2024/06/18
25,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-tertiary-Expedition.png,Expedition,3 Affix script,"First: 20,000 Later: 4,000",2024/06/18
25,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-primary-Frost.png,Frost Damage,1 Focus script,"First: 15,000 Later: 3,000",2024/06/18
25,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-secondary-Give Ultimate.png,Anchorite's Potency,2 Signature script,"First: 20,000 Later: 4,000",2024/06/18
25,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Defile.png,Defile,3 Affix script,"First: 10,000 Later: 2,000",2024/06/18
2024/06/25
26,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-primary-Shock.png,Shock Damage,1 Focus script,"First: 36,000 Later: 7,200 (Zenithar discount)",2024/06/25
26,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-secondary-Status Effect.png,Assassin's Misery,2 Signature script,"First: 54,000 Later: 10,800 (Zenithar discount)",2024/06/25
26,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-tertiary-Evasion.png,Evasion,3 Affix script,"First: 18,000 Later: 3,600 (Zenithar discount)",2024/06/25
26,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-primary-Transfer Buff.png,Mitigation,1 Focus script,"First: 15,000 Later: 3,000",2024/06/25
26,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-secondary-Charge Damage.png,Cavalier's Charge,2 Signature script,"First: 20,000 Later: 4,000",2024/06/25
26,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Force.png,Force,3 Affix script,"First: 10,000 Later: 2,000",2024/06/25
26,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Heroism.png,Heroism,3 Affix script,"First: 10,000 Later: 2,000",2024/06/25
2024/07/02
27,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-primary-Frost.png,Frost Damage,1 Focus script,"First: 40,000 Later: 8,000",2024/07/02
27,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-secondary-Soul Collapse.png,Anchorite's Cruelty,2 Signature script,"First: 60,000 Later: 12,000",2024/07/02
27,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-tertiary-Berserk.png,Berserk,3 Affix script,"First: 20,000 Later: 4,000",2024/07/02
27,Chronicler Firandil in The Scholarium,Image:ON-icon-scribing-tertiary-Mangle.png,Mangle,3 Affix script,"First: 20,000 Later: 4,000",2024/07/02
27,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-primary-Resource Restore.png,Restore Resources,1 Focus script,"First: 15,000 Later: 3,000",2024/07/02
27,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-secondary-Immobilize.png,Immobilizing Strike,2 Signature script,"First: 20,000 Later: 4,000",2024/07/02
27,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Cowardice.png,Cowardice,3 Affix script,"First: 10,000 Later: 2,000",2024/07/02
27,Filer Ool in the Infinite Archive,Image:ON-icon-scribing-tertiary-Lifesteal.png,Lifesteal,3 Affix script,"First: 10,000 Later: 2,000",2024/07/02
2024/07/09
28,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-primary-Flame.png,Flame Damage,1 Focus script,"First: 40,000 Later: 8,000",2024/07/09
28,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-secondary-Damage Shield.png,Warmage's Defense damage shield,2 Signature script,"First: 60,000 Later: 12,000",2024/07/09
28,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Brutality Sorcery.png,Brutality and Sorcery,3 Affix script,"First: 20,000 Later: 4,000",2024/07/09
28,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Lifesteal.png,Lifesteal,3 Affix script,"First: 20,000 Later: 4,000",2024/07/09
28,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Knockback.png,Knockback,1 Focus script,"First: 15,000 Later: 3,000",2024/07/09
28,Filer Ool in the Infinite Archive,File:ON-icon-scribing-secondary-Live Steal.png,Leeching Thirst heal for percentage of damage done,2 Signature script,"First: 20,000 Later: 4,000",2024/07/09
28,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Interrupt.png,Interrupt,3 Affix script,"First: 10,000 Later: 2,000",2024/07/09
2024/07/16
29,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-primary-Trauma.png,Trauma,1 Focus script,"First: 40,000 Later: 8,000",2024/07/16
29,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-secondary-Mobility.png,Thief's Swiftness improvement to your mobility,2 Signature script,"First: 60,000 Later: 12,000",2024/07/16
29,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Empower.png,Empower,3 Affix script,"First: 20,000 Later: 4,000",2024/07/16
29,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Gain Ultimate.png,Generate Ultimate,1 Focus script,"First: 15,000 Later: 3,000",2024/07/16
29,Filer Ool in the Infinite Archive,File:ON-icon-scribing-secondary-Soul Collapse.png,Anchorite's Cruelty consume soul gem to deal oblivion damage,2 Signature script,"First: 20,000 Later: 4,000",2024/07/16
29,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Evasion.png,Evasion,3 Affix script,"First: 10,000 Later: 2,000",2024/07/16
29,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Magicka Steal.png,Magickasteal,3 Affix script,"First: 10,000 Later: 2,000",2024/07/16
2024/07/23
30,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-primary-Multihit.png,Multi-Target,1 Focus script,"First: 40,000 Later: 8,000",2024/07/23
30,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-secondary-Break Snare.png,Crusader's Defiance removal of debilitating effects,2 Signature script,"First: 60,000 Later: 12,000",2024/07/23
30,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Protection.png,Protection,3 Affix script,"First: 20,000 Later: 4,000",2024/07/23
30,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Defile.png,Defile,3 Affix script,"First: 20,000 Later: 4,000",2024/07/23
30,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Flame.png,Flame Damage,1 Focus script,"First: 15,000 Later: 3,000",2024/07/23
30,Filer Ool in the Infinite Archive,File:ON-icon-scribing-secondary-Mobility.png,Thief's Swiftness improvement to your mobility,2 Signature script,"First: 20,000 Later: 4,000",2024/07/23
30,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Savage Prophecy.png,Savagery and Prophecy,3 Affix script,"First: 10,000 Later: 2,000",2024/07/23
2024/07/30
31,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-primary-Taunt.png,Taunt,1 Focus script,"First: 40,000 Later: 8,000",2024/07/30
31,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-secondary-Bladeturn.png,Fencer's Parry deflection of next direct damage attack,2 Signature script,"First: 60,000 Later: 12,000",2024/07/30
31,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Courage.png,Courage,3 Affix script,"First: 20,000 Later: 4,000",2024/07/30
31,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Pull.png,Pull,1 Focus script,"First: 15,000 Later: 3,000",2024/07/30
31,Filer Ool in the Infinite Archive,File:ON-icon-scribing-secondary-Damage Shield.png,Warmage's Defense damage shield,2 Signature script,"First: 20,000 Later: 4,000",2024/07/30
31,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Brutality Sorcery.png,Brutality and Sorcery,3 Affix script,"First: 10,000 Later: 2,000",2024/07/30
31,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Uncertainty.png,Uncertainty,3 Affix script,"First: 10,000 Later: 2,000",2024/07/30
2024/08/06
32,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-primary-Knockback.png,Knockback,1 Focus script,"First: 40,000 Later: 8,000",2024/08/06
32,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-secondary-Damage Reduction.png,Gladiator's Tenacity damage reduction,2 Signature script,"First: 60,000 Later: 12,000",2024/08/06
32,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Heroism.png,Heroism,3 Affix script,"First: 20,000 Later: 4,000",2024/08/06
32,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Brittle.png,Brittle,3 Affix script,"First: 20,000 Later: 4,000",2024/08/06
32,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Disease.png,Disease Damage,1 Focus script,"First: 15,000 Later: 3,000",2024/08/06
32,Filer Ool in the Infinite Archive,File:ON-icon-scribing-secondary-Status Effect.png,Assassin's Misery improved use of status effects,2 Signature script,"First: 20,000 Later: 4,000",2024/08/06
32,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Protection.png,Protection,3 Affix script,"First: 10,000 Later: 2,000",2024/08/06
2024/08/13
33,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-primary-Pull.png,Pull,1 Focus script,"First: 40,000 Later: 8,000",2024/08/13
33,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-secondary-Give Ultimate.png,Anchorite's Potency consume soul gem to grant ultimate,2 Signature script,"First: 60,000 Later: 12,000",2024/08/13
33,Chronicler Firandil in The Scholarium,File:ON-icon-scribing-tertiary-Intellect Endurance.png,Intellect and Endurance,3 Affix script,"First: 20,000 Later: 4,000",2024/08/13
33,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Dispelled.png,Dispel,1 Focus script,"First: 15,000 Later: 3,000",2024/08/13
33,Filer Ool in the Infinite Archive,File:ON-icon-scribing-primary-Trauma.png,Trauma,1 Focus script,"First: 15,000 Later: 3,000",2024/08/13
33,Filer Ool in the Infinite Archive,File:ON-icon-scribing-secondary-Local AOE Damage Buff.png,Growing Impact enhanced buff and debuff application,2 Signature script,"First: 20,000 Later: 4,000",2024/08/13
33,Filer Ool in the Infinite Archive,File:ON-icon-scribing-tertiary-Enervation.png,Enervation,3 Affix script,"First: 10,000 Later: 2,000",2024/08/13
