Breach,Breach,"Afflicts enemies with Minor Breach for 20 seconds, reducing Physical and Spell Resistance by 2974."
Script,Effects
Incompatible with Warding Burst and Healing Burst
Courage,Courage,"Grants Minor Courage for 20 seconds, increasing Weapon and Spell Damage by 215."
Expedition,Expedition,"Grants Minor Expedition for 20 seconds, increasing Movement Speed by 15%."
Intellect and Endurance,Intellect and Endurance,"Grants Minor Intellect and Minor Endurance for 20 seconds, increasing Magicka and Stamina Recovery by 15%."
Interrupt,Interrupt,Interrupts enemies that are casting.
Incompatible with Warding Burst and Healing Burst
Magickasteal,Magickasteal,"Afflicts enemies with Minor Magickasteal for 20 seconds, restoring 168 Magicka to attackers every 1 second."
Incompatible with Warding Burst and Healing Burst
Maim,Maim,"Afflicts enemies with Minor Maim for 20 seconds, reducing damage done by 5%."
Incompatible with Warding Burst and Healing Burst
Resolve,Resolve,"Grants Minor Resolve for 20 seconds, increasing Physical and Spell Resistance by 2974."
