ESO Resistance Link|Spell,|y / Physical Resistance
Quality,6Normal,6Fine,6Superior,6Epic,6Legendary
Bonus Range,69-2595 (white) / 173-2698 (green) / 276-2802 (blue) / 380-2871 (purple) / 484-2975 (gold)
Item Level,1,69 (white) / 173 (green) / 276 (blue) / 380 (purple) / 484 (gold)
4,207 (white) / 311 (green) / 415 (blue) / 519 (purple) / 622 (gold)
6,311 (white) / 415 (green) / 519 (blue) / 622 (purple) / 726 (gold)
8,380 (white) / 484 (green) / 588 (blue) / 692 (purple) / 795 (gold)
10,449 (white) / 553 (green) / 657 (blue) / 761 (purple) / 864 (gold)
12,519 (white) / 622 (green) / 726 (blue) / 830 (purple) / 934 (gold)
14,588 (white) / 692 (green) / 795 (blue) / 899 (purple) / 1003 (gold)
16,657 (white) / 761 (green) / 864 (blue) / 968 (purple) / 1072 (gold)
18,726 (white) / 830 (green) / 934 (blue) / 1038 (purple) / 1141 (gold)
20,795 (white) / 899 (green) / 1003 (blue) / 1107 (purple) / 1211 (gold)
22,864 (white) / 968 (green) / 1072 (blue) / 1176 (purple) / 1280 (gold)
24,934 (white) / 1038 (green) / 1141 (blue) / 1245 (purple) / 1349 (gold)
26,1003 (white) / 1107 (green) / 1211 (blue) / 1314 (purple) / 1418 (gold)
28,1072 (white) / 1176 (green) / 1280 (blue) / 1384 (purple) / 1487 (gold)
30,1141 (white) / 1245 (green) / 1349 (blue) / 1453 (purple) / 1556 (gold)
32,1211 (white) / 1314 (green) / 1418 (blue) / 1522 (purple) / 1626 (gold)
34,1280 (white) / 1384 (green) / 1487 (blue) / 1591 (purple) / 1695 (gold)
36,1349 (white) / 1453 (green) / 1556 (blue) / 1660 (purple) / 1764 (gold)
38,1418 (white) / 1522 (green) / 1626 (blue) / 1729 (purple) / 1833 (gold)
40,1487 (white) / 1591 (green) / 1695 (blue) / 1799 (purple) / 1902 (gold)
42,1556 (white) / 1660 (green) / 1764 (blue) / 1868 (purple) / 1972 (gold)
44,1626 (white) / 1729 (green) / 1833 (blue) / 1937 (purple) / 2041 (gold)
46,1695 (white) / 1799 (green) / 1902 (blue) / 2006 (purple) / 2110 (gold)
48,1764 (white) / 1868 (green) / 1972 (blue) / 2076 (purple) / 2179 (gold)
50,1833 (white) / 1937 (green) / 2041 (blue) / 2145 (purple) / 2249 (gold)
CP10,1833 (white) / 1937 (green) / 2041 (blue) / 2110 (purple) / 2214 (gold)
CP20,1902 (white) / 2006 (green) / 2110 (blue) / 2179 (purple) / 2283 (gold)
CP30,1937 (white) / 2041 (green) / 2145 (blue) / 2214 (purple) / 2318 (gold)
CP40,2006 (white) / 2110 (green) / 2214 (blue) / 2283 (purple) / 2387 (gold)
CP50,2041 (white) / 2145 (green) / 2249 (blue) / 2318 (purple) / 2422 (gold)
CP60,2110 (white) / 2214 (green) / 2318 (blue) / 2387 (purple) / 2491 (gold)
CP70,2145 (white) / 2249 (green) / 2352 (blue) / 2422 (purple) / 2525 (gold)
CP80,2214 (white) / 2318 (green) / 2422 (blue) / 2491 (purple) / 2595 (gold)
CP90,2249 (white) / 2352 (green) / 2456 (blue) / 2525 (purple) / 2629 (gold)
CP100,2318 (white) / 2422 (green) / 2525 (blue) / 2595 (purple) / 2698 (gold)
CP110,2352 (white) / 2456 (green) / 2560 (blue) / 2629 (purple) / 2733 (gold)
CP120,2422 (white) / 2525 (green) / 2629 (blue) / 2698 (purple) / 2802 (gold)
CP130,2456 (white) / 2560 (green) / 2664 (blue) / 2733 (purple) / 2837 (gold)
CP140,2525 (white) / 2629 (green) / 2733 (blue) / 2802 (purple) / 2906 (gold)
CP150,2560 (white) / 2664 (green) / 2768 (blue) / 2837 (purple) / 2940 (gold)
CP160,2595 (white) / 2698 (green) / 2802 (blue) / 2871 (purple) / 2975 (gold)
