Trait,Base Time,Carpentry I,Carpentry II,Carpentry III,Carpentry IV
Trait 1,5h 24m,5h 08m,4h 52m,4h 19m,4h 03m
Trait 2,10h 48m,10h 16m,9h 43m,8h 38m,8h 06m
Trait 3,21h 36m,20h 31m,19h 26m,17h 17m,16h 12m
Trait 4,1d 19h 12m,1d 18h 02m,1d 14h 53m,1d 10h 34m,1d 08h 24m
Trait 5,3d 14h 24m,3d 10h 05m,3d 05h 46m,2d 21h 07m,2d 16h 48m
Trait 6,1w 0d 04h 48m,6d 20h 10m,6d 11h 31m,5d 18h 14m,5d 09h 36m
Trait 7,2w 0d 09h 36m,1w 6d 16h 19m,1w 5d 23h 02m,1w 4d 12h 29m,1w 3d 19h 12m
Trait 8,4w 0d 19h 12m,3w 6d 08h 38m,3w 4d 22h 05m,3w 2d 00h 58m,3w 0d 14h 24m
Trait 9,8w 1d 14h 24m,7w 5d 17h 17m,7w 2d 20h 10m,6w 4d 01h 55m,4w 2d 00h 00m
Total per item,16w 5d 16h 12m,15w 4d 05h 26m,14w 2d 11h 28m,13w 0d 23h 31m,10w 0d 00h 45m
Research Slots,1,2,2,3,3
Total all items,98w 3d 20h 24m,46w 5d 16h 17m,44w 2d 10h 23m,26w 1d 23h 02m,20w 0d 01h 30m
