Attempt,Light Fingers
Base,I,II,III,IV
Easy Target
1st Attempt,50 (75),60 (85),70 (95),85 (100),100 (100)
2nd Attempt,45 (65),55 (75),65 (85),80 (90),95 (100)
3rd Attempt,40 (60),50 (70),60 (80),75 (85),90 (100)
Medium Target
1st Attempt,30 (50),40 (60),50 (70),65 (85),80 (100)
2nd Attempt,20 (40),30 (50),40 (60),55 (75),70 (90)
3rd Attempt,10 (30),20 (40),30 (50),45 (65),60 (80)
Hard Target
1st Attempt,20 (40),30 (50),40 (60),55 (75),70 (90)
2nd Attempt,5 (25),15 (35),25 (45),40 (60),55 (75)
3rd Attempt,0 (10),10 (20),20 (30),35 (45),50 (60)
