Raw Material,Refined Into,Used To Make...,Level
Iron Ore,Iron Ingot,Iron Armor and Iron Weapons,0|1 - 14
High Iron Ore,Steel Ingot,Steel Armor and Steel Weapons,1|16 - 24
Orichalcum Ore,Orichalcum Ingot,Orichalc Armor and Orichalc Weapons,2|26 - 34
Dwarven Ore,Dwarven Ingot,Dwarven Armor and Dwarven Weapons,3|36 - 44
Ebony Ore,Ebony Ingot,Ebon Armor and Ebon Weapons,4|46 - 50
Calcinium Ore,Calcinium Ingot,Calcinium Armor and Calcinium Weapons,5|CP10 - 30
Galatite Ore,Galatite Ingot,Galatite Armor and Galatite Weapons,6|CP40 - 60
Quicksilver Ore,Quicksilver Ingot,Quicksilver Armor and Quicksilver Weapons,7|CP70 - 80
Voidstone Ore,Voidstone Ingot,Voidsteel Armor and Voidsteel Weapons,8|CP90 - 140
Rubedite Ore,Rubedite Ingot,Rubedite Armor and Rubedite Weapons,9|CP150 - 160
