Class Flourish,Class Flourish,Depends on class. See Class Flourish page for full details.
Script,Effects
Crusader's Defiance,Crusader's Defiance,Removes and grants immunity to snares and immobilizations for 4 seconds.
Druid's Resurgence,Druid's Resurgence,Restores 1104 Stamina over 10 seconds.
Fencer's Parry,Fencer's Parry,Deflects the next direct damage attack made against you within 3 seconds. This can occur once every 3 seconds.
Immobilizing Strike,Immobilizing Strike,Immobilizes enemies for 3 seconds.
Incompatible with Warding Smash and Healing Smash
Leeching Thirst,Leeching Thirst,Heals you for 33% of the damage done.
Incompatible with Warding Smash and Healing Smash
Lingering Torment,Lingering Torment,Deals 5950 Physical Damage over 20 seconds to enemies.
Incompatible with Warding Smash and Healing Smash
Sage's Remedy,Sage's Remedy,Heals for 3500 Health over 10 seconds.
Wayfarer's Mastery,Wayfarer's Mastery,Grants you the bonus of the Follow Up passive ability.
