Trait,Base Time,Stitching I,Stitching II,Stitching III,Stitching IV
Trait 1,6h 00m,5h 42m,5h 24m,4h 48m,4h 30m
Trait 2,12h 00m,11h 24m,10h 48m,9h 36m,9h 00m
Trait 3,1d 00h 00m,22h 48m,21h 36m,19h 12m,18h 00m
Trait 4,2d 00h 00m,1d 21h 36m,1d 19h 12m,1d 14h 24m,1d 12h 00m
Trait 5,4d 00h 00m,3d 19h 12m,3d 14h 24m,3d 04h 48m,3d 00h 00m
Trait 6,1w 1d 00h 00m,1w 0d 14h 24m,1w 0d 04h 48m,6d 09h 36m,6d 00h 00m
Trait 7,2w 2d 00h 00m,2w 1d 04h 48m,2w 0d 09h 36m,1w 5d 19h 12m,1w 5d 00h 00m
Trait 8,4w 4d 00h 00m,4w 2d 09h 36m,4w 0d 19h 12m,3w 4d 14h 24m,3w 3d 00h 00m
Trait 9,9w 1d 00h 00m,8w 4d 19h 12m,8w 1d 14h 24m,7w 2d 04h 48m,4w 2d 00h 00m
Total per Item,18w 4d 18h 00m,17w 2d 08h 42m,16w 2d 23h 24m,14w 4d 04h 48m,11w 0d 19h 30m
Research Slots,1,2,2,3,3
Total all Items,255w 3d 12h 00m,121w 2d 12h 54m,114w 6d 19h 48m,73w 0d 00h 00m,55w 4d 01h 30m
