Raw Material,Refined Into,Used To Make...,Level
Rawhide Scraps,Rawhide,Rawhide Armor,0|1 - 14
hide| Hide Scraps,hide| Hide,Hide Armor,1|16 - 24
Leather Scraps,Leather,Leather Armor,2|26 - 34
Thick Leather Scraps,Thick Leather,Full-Leather Armor,3|36 - 44
fell| Fell Hide Scraps,fell| Fell Hide,Fell Armor,4|46 - 50
Topgrain Hide Scraps,Topgrain Hide,Brigadine Armor,5|CP10 - 30
Iron Hide Scraps,Iron Hide,Ironhide Armor,6|CP40 - 60
Superb Hide Scraps,Superb Hide,Superb Armor,7|CP70 - 80
Shadowhide Scraps,Shadowhide,Shadowhide Armor,8|CP90 - 140
Rubedo Hide Scraps,Rubedo Leather,Rubedo Leather Armor,9|CP150 - 160
