Brutality and Sorcery,Brutality and Sorcery,"Grants you Major Brutality and Major Sorcery for 10 seconds, increasing Weapon and Spell Damage by 20%."
Script,Effects
Cowardice,Cowardice,"Afflicts enemies with Minor Cowardice for 20 seconds, reducing Weapon and Spell Damage by 215."
Defile,Defile,"Afflicts enemies with Minor Defile, which reduces healing received and damage shield strength by 6% for 20 seconds."
Expedition,Expedition,"Grants you Minor Expedition for 20 seconds, increasing Movement Speed by 15%."
Heroism,Heroism,"Grants you Major Heroism for 10 seconds, generating 3 Ultimate every 1.5 seconds."
Mangle,Mangle,"Afflicts enemies with Minor Mangle for 20 seconds, reducing Max Health by 10%."
Off Balance,Off Balance,Sets enemies Off Balance for 7 seconds.
Protection,Protection,"Grants you Major Protection for 10 seconds, reducing damage taken by 10%."
Savagery and Prophecy,Savagery and Prophecy,"Grants you Major Savagery and Major Prophecy for 20 seconds, increasing Weapon and Spell Critical rating by 2629."
Vulnerability,Vulnerability,"Afflicts enemies with Minor Vulnerability for 20 seconds, increasing damage taken by 5%."
