Assassin's Misery,Assassin's Misery,Increases the chance to apply status effects on enemies by 100% for 10 seconds.
Script,Effects
Class Flourish,Class Flourish,Depends on class. See Class Flourish page for full details.
Fencer's Parry,Fencer's Parry,Deflects the next direct damage attack used against you within 3 seconds. This can occur once every 3 seconds.
Hunter's Snare,Hunter's Snare,Reduces the Movement Speed of enemies by 30% for 4 seconds.
Leeching Thirst,Leeching Thirst,Heals you for 20% of the damage done.
Lingering Torment,Lingering Torment,Deals 5950 Physical Damage over 20 seconds to enemies.
Warmage's Defense,Warmage's Defense,Grants you a damage shield that absorbs 3777 damage for 6 seconds.
Warrior's Opportunity,Warrior's Opportunity,Enemies hit take 8% more Martial Damage for 5 seconds.
Wayfarer's Mastery,Wayfarer's Mastery,Enemies hit are susceptible to your Ruffian passive ability for 6 seconds.
