Breach,Breach,"Afflicts the enemy with Major Breach for 10 seconds, reducing Physical and Spell Resistance by 5984."
Script,Effects
Incompatible with Warding Soul and Healing Soul
Brutality and Sorcery,Brutality and Sorcery,"Grants Major Brutality and Major Sorcery for 10 seconds, increasing Weapon and Spell Damage by 20%."
Cowardice,Cowardice,"Afflicts the enemy with Major Cowardice for 10 seconds, reducing Weapon and Spell Damage by 430."
Incompatible with Warding Soul and Healing Soul
Defile,Defile,"Afflicts the enemy with Major Defile, which reduces healing received and damage shield strength by 12% for 10 seconds."
Incompatible with Warding Soul and Healing Soul
Empower,Empower,"Grants Empower for 10 seconds, increasing the damage of Heavy Attacks against monsters by 70%."
Intellect and Endurance,Intellect and Endurance,"Grants Major Intellect and Major Endurance, increasing Magicka and Stamina Recovery by 30% for 10 seconds."
Resolve,Resolve,"Grants Major Resolve for 10 seconds, increasing Physical and Spell Resistance by 5984."
Vitality,Vitality,"Grants Major Vitality for 10 seconds, increasing healing received and damage shield strength by 12%."
