Tripled-Effect Formulae
Tripled Effect,Other Effects,Reagents
Cowardice,Restore Health,Increase Spell Resist,Blue Entoloma,White Cap,Bugloss
Detection,,,Corn Flower,Torchbug Thorax,White Cap
Wormwood,Corn Flower,Torchbug Thorax
Wormwood,Corn Flower,White Cap
Wormwood,Torchbug Thorax,White Cap
Enervation,,,Nirnroot,Torchbug Thorax,Imp Stool
Hindrance,,,Wormwood,Clam Gall,Luminous Russula
Wormwood,Spider Egg,Luminous Russula
Defile,,Spider Egg,Clam Gall,Luminous Russula
Wormwood,Spider Egg,Clam Gall
Increase Armor,Protection,,Beetle Scuttle,Mudcrab Chitin,Imp Stool
Beetle Scuttle,Mudcrab Chitin,Mountain Flower
Increase Spell Resist,Defile,,Mudcrab Chitin,Clam Gall,Bugloss
Mudcrab Chitin,Clam Gall,White Cap
Invisible,,,Blue Entoloma,Nirnroot,Namira's Rot
Blue Entoloma,Spider Egg,Namira's Rot
Blue Entoloma,Spider Egg,Nirnroot
Spider Egg,Nirnroot,Namira's Rot
Lingering Health,,,Powdered Mother of Pearl,Spider Egg,Butterfly Wing
Scrib Jelly,Powdered Mother of Pearl,Spider Egg
Scrib Jelly,Spider Egg,Butterfly Wing
Maim,Restore Health,Increase Armor,Mountain Flower,Imp Stool,Luminous Russula
Protection,,,Beetle Scuttle,Powdered Mother of Pearl,Nightshade
Mudcrab Chitin,Powdered Mother of Pearl,Nightshade
Ravage Health,,,Corn Flower,Blessed Thistle,Emetic Russula
Corn Flower,Nightshade,Blessed Thistle
Corn Flower,Nightshade,Emetic Russula
Corn Flower,Nirnroot,Blessed Thistle
Corn Flower,Nirnroot,Emetic Russula
Corn Flower,Nirnroot,Nightshade
Nightshade,Blessed Thistle,Emetic Russula
Nirnroot,Blessed Thistle,Emetic Russula
Nirnroot,Nightshade,Blessed Thistle
Nirnroot,Nightshade,Emetic Russula
Stinkhorn,Corn Flower,Nightshade
Stinkhorn,Corn Flower,Nirnroot
Stinkhorn,Nirnroot,Nightshade
Violet Coprinus,Nightshade,Blessed Thistle
Violet Coprinus,Nirnroot,Blessed Thistle
Violet Coprinus,Nirnroot,Nightshade
Violet Coprinus,Stinkhorn,Nightshade
Violet Coprinus,Stinkhorn,Nirnroot
Increase Spell Power,,Violet Coprinus,Corn Flower,Blessed Thistle
Violet Coprinus,Corn Flower,Emetic Russula
Violet Coprinus,Corn Flower,Nightshade
Violet Coprinus,Corn Flower,Nirnroot
Violet Coprinus,Stinkhorn,Corn Flower
Increase Weapon Power,,Stinkhorn,Blessed Thistle,Emetic Russula
Stinkhorn,Corn Flower,Blessed Thistle
Stinkhorn,Nightshade,Blessed Thistle
Stinkhorn,Nirnroot,Blessed Thistle
Violet Coprinus,Stinkhorn,Blessed Thistle
