Combination,Reagent 1,Reagent 2,Reagent 3
1,Emetic Russula,Stinkhorn,Water Hyacinth
2,Powdered Mother of Pearl,Mudcrab Chitin,Beetle Scuttle
3,Clam Gall,Mudcrab Chitin,Wormwood
4,Wormwood,Dragonthorn,Chaurus Egg
5,Chaurus Egg,White Cap,Crimson Nirnroot
6,Crimson Nirnroot,Fleshfly Larva,Water Hyacinth
7,Water Hyacinth,Dragonthorn,Stinkhorn
8,Stinkhorn,Blessed Thistle,Torchbug Thorax
9,Torchbug Thorax,Butterfly Wing,Nirnroot
10,Nirnroot,Dragon's Bile,Fleshfly Larva
11,Fleshfly Larva,Imp Stool,Luminous Russula
12,Luminous Russula,Butterfly Wing,Spider Egg
13,Spider Egg,Nirnroot,Nightshade
14,Nightshade,Crimson Nirnroot,Vile Coagulant
15,Vile Coagulant,Torchbug Thorax,Corn Flower
16,Corn Flower,Lady's Smock,Violet Coprinus
17,Violet Coprinus,Emetic Russula,Beetle Scuttle
18,Beetle Scuttle,Powdered Mother of Pearl,Scrib Jelly
19,Scrib Jelly,Clam Gall,Dragon's Blood
20,Dragon's Blood,Blessed Thistle,Dragon Rheum
21,Dragon Rheum,Imp Stool,Mountain Flower
22,Mountain Flower,Wormwood,Columbine
23,Columbine,Lady's Smock,Namira's Rot
24,Namira's Rot,Scrib Jelly,Blue Entoloma
25,Blue Entoloma,White Cap,Bugloss
26,Bugloss,Dragon Rheum,Dragon's Bile
