Achievement,Points,Description,Reward
,Master Alchemist,50,Attain an Alchemy rank of 50.,"Alchemist Bilious Alchemist's Sign ( 00005000 5,000 )"
Botanist
​,Botanist,50,Learn every trait for each of the Alchemy reagents listed below.,Nirnroot Gray
​,Blessed Thistle,5,Learn all the Traits for the Blessed Thistle Alchemy Plant.,
​,Blue Entoloma,5,Learn all the Traits for the Blue Entoloma Alchemy Plant.,
​,Bugloss,5,Learn all the Traits for the Bugloss Alchemy Plant.,
​,Columbine,5,Learn all the Traits for the Columbine Alchemy Plant.,
​,Corn Flower,5,Learn all the Traits for the Corn Flower Alchemy Plant.,
​,Dragonthorn,5,Learn all the Traits for the Dragonthorn Alchemy Plant.,
​,Emetic Russula,5,Learn all the Traits for the Emetic Russula Alchemy Plant.,
​,Imp Stool,5,Learn all the Traits for the Imp Stool Alchemy Plant.,
​,Lady's Smock,5,Learn all the Traits for the Lady's Smock Alchemy Plant.,
​,Luminous Russula,5,Learn all the Traits for the Luminous Russula Alchemy Plant.,
​,Mountain Flower,5,Learn all the Traits for the Mountain Flower Alchemy Plant.,
​,Namira's Rot,5,Learn all the Traits for the Namira's Rot Alchemy Plant.,
​,Nirnroot,5,Learn all the Traits for the Nirnroot Alchemy Plant.,
​,Stinkhorn,5,Learn all the Traits for the Stinkhorn Alchemy Plant.,
​,Violet Coprinus,5,Learn all the Traits for the Violet Coprinus Alchemy Plant.,
​,Water Hyacinth,5,Learn all the Traits for the Water Hyacinth Alchemy Plant.,
​,White Cap,5,Learn all the Traits for the White Cap Alchemy Plant.,
​,Wormwood,5,Learn all the Traits for the Wormwood Alchemy Plant.,
Toxicologist
,Toxicologist,50,Learn every trait for each of the Alchemy reagents listed below.,"Viridian Venom Poison Satchel ( 00005000 5,000 )"
​,Beetle Scuttle,5,Learn all the Traits for the Beetle Scuttle Alchemy reagent.,
​,Butterfly Wing,5,Learn all the Traits for the Butterfly Wing Alchemy reagent.,
​,Fleshfly Larva,5,Learn all the Traits for the Fleshfly Larva Alchemy reagent.,
​,Mudcrab Chitin,5,Learn all the Traits for the Mudcrab Chitin Alchemy reagent.,
​,Nightshade,5,Learn all the Traits for the Nightshade Alchemy reagent.,
​,Scrib Jelly,5,Learn all the Traits for the Scrib Jelly Alchemy reagent.,
​,Spider Egg,5,Learn all the Traits for the Spider Egg Alchemy reagent.,
​,Torchbug Thorax,5,Learn all the Traits for the Torchbug Thorax Alchemy reagent.,
Anomalous Taste Tester
,Anomalous Taste Tester,50,Learn every trait for the listed Alchemy reagents. What curious taste in treats you have.,
​,Chaurus Egg,5,Learn all the Traits for the Chaurus Egg Alchemy reagent.,
​,Crimson Nirnroot,5,Learn all the Traits for the Crimson Nirnroot Alchemy reagent.,
​,Dragon's Bile,5,Learn all the Traits for the Dragon's Bile Alchemy reagent.,
​,Dragon's Blood,5,Learn all the Traits for the Dragon's Blood Alchemy reagent.,
​,Dragon Rheum,5,Learn all the Traits for the Dragon Rheum Alchemy reagent.,
​,Powdered Mother of Pearl,5,Learn all the Traits for the Powdered Mother of Pearl Alchemy reagent.,
Resin
,Resin Harvester,5,Harvest your first unit of Alchemical Resin .,
,Expert Resin Harvester,10,Harvest 25 units of Alchemical Resin .,
,Master Resin Harvester,15,Harvest 100 units of Alchemical Resin .,
Furnisher
,Novice Alchemy Furnisher,5,Learn your first Alchemy Formula .,
,Expert Alchemy Furnisher,15,Learn 10 Alchemy Formulas .,
,Master Alchemy Furnisher,50,Learn 25 Alchemy Formulas .,
Surveys
​,Petal Picker,5,Harvest the resources from one Alchemy survey report.,
​,Reagent Ranger,10,Harvest the resources from 10 Alchemy survey reports.,
​,Adept Herbalist,15,Harvest the resources from 30 Alchemy survey reports.,
