Style,Material,Motif
High Elf Style,Adamantite,Crafting Motif 1: High Elf Style
Dark Elf Style,Obsidian,Crafting Motif 2: Dark Elf Style
Wood Elf Style,Bone,Crafting Motif 3: Wood Elf Style
Nord Style,Corundum,Crafting Motif 4: Nord Style
Breton Style,Molybdenum,Crafting Motif 5: Breton Style
Redguard Style,Starmetal,Crafting Motif 6: Redguard Style
Khajiit Style,Moonstone,Crafting Motif 7: Khajiit Style
Orcish Style,Manganese,Crafting Motif 8: Orc Style
Argonian Style,Flint,Crafting Motif 9: Argonian Style
Imperial Style,Nickel,Crafting Motif 10: Imperial Style
Ancient Elf Style,Palladium,Crafting Motif 11: Ancient Elf Style
Barbaric Style,Bronze,Crafting Motif 12: Barbaric Style
Primal Style,Argentum,Crafting Motif 13: Primal Style
Daedric Style,Daedra Heart,Crafting Motif 14: Daedric Style
Dwemer Style,Dwemer Frame,Crafting Motif 15: Dwemer Style
Glass Style,Malachite,Crafting Motif 16: Glass Style
Xivkyn Style,Charcoal of Remorse,Crafting Motif 17: Xivkyn Style
Akaviri Style,Goldscale,Crafting Motif 18: Akaviri Style
Mercenary Style,Laurel,Crafting Motif 19: Mercenary Style
Yokudan Style,Ferrous Salts,Crafting Motif 20: Yokudan Style
Ancient Orc Style,Cassiterite,Crafting Motif 21: Ancient Orc Style
Trinimac Style,Auric Tusk,Crafting Motif 22: Trinimac Style
Malacath Style,Potash,Crafting Motif 23: Malacath Style
Outlaw Style,Rogue's Soot,Crafting Motif 24: Outlaw Style
Aldmeri Dominion Style,Eagle Feather,Crafting Motif 25: Aldmeri Dominion Style
Daggerfall Covenant Style,Lion Fang,Crafting Motif 26: Daggerfall Covenant Style
Ebonheart Pact Style,Dragon Scute,Crafting Motif 27: Ebonheart Pact Style
Ra Gada Style,Ancient Sandstone,Crafting Motif 28: Ra Gada Style
Soul-Shriven Style,Azure Plasm,Crafting Motif 29: Soul-Shriven Style
Morag Tong Style,Boiled Carapace,Crafting Motif 30: Morag Tong Style
Skinchanger Style,Wolfsbane Incense,Crafting Motif 31: Skinchanger Style
Abah's Watch Style,Polished Shilling,Crafting Motif 32: Abah's Watch Style
Thieves Guild Style,Fine Chalk,Crafting Motif 33: Thieves Guild Style
Assassins League Style,Tainted Blood,Crafting Motif 34: Assassins League Style
Dro-m'Athra Style,Defiled Whiskers,Crafting Motif 35: Dro-m'Athra Style
Dark Brotherhood Style,Black Beeswax,Crafting Motif 36: Dark Brotherhood Style
Ebony Style,Night Pumice,Crafting Motif 37: Ebony Style
Draugr Style,Pristine Shroud,Crafting Motif 38: Draugr Style
Minotaur Style,Oxblood Fungus,Crafting Motif 39: Minotaur Style
Order of the Hour Style,Pearl Sand,Crafting Motif 40: Order Hour Style
Celestial Style,Star Sapphire,Crafting Motif 41: Celestial Style
Hollowjack Style,Amber Marble,Crafting Motif 42: Hollowjack Style
Grim Harlequin Style,Grinstones,Crafting Motif 43: Grim Harlequin Style
Silken Ring Style,Distilled Slowsilver,Crafting Motif 44: Silken Ring Style
Mazzatun Style,Leviathan Scrimshaw,Crafting Motif 45: Mazzatun Style
Stalhrim Frostcaster Style,Stalhrim Shard,Crafting Motif 46: Frostcaster Style
Buoyant Armiger Style,Volcanic Viridian,Crafting Motif 47: Buoyant Armiger Style
Ashlander Style,Ash Canvas,Crafting Motif 48: Ashlander Style
Militant Ordinator Style,Lustrous Sphalerite,Crafting Motif 49: Militant Ordinator Style
Telvanni Style,Wrought Ferrofungus,Crafting Motif 50: Telvanni Style
Hlaalu Style,Refined Bonemold Resin,Crafting Motif 51: Hlaalu Style
Redoran Style,Polished Scarab Elytra,Crafting Motif 52: Redoran Style
Tsaesci Style,Snake Fang,Crafting Motif 53: Tsaesci Style
Bloodforge Style,Bloodroot Flux,Crafting Motif 54: Bloodforge Style
Dreadhorn Style,Minotaur Bezoar,Crafting Motif 55: Dreadhorn
Apostle Style,Tempered Brass,Crafting Motif 56: Apostle
