Achievement,Points,Description,Reward
,Master Blacksmith,50,Attain a Blacksmithing rank of 50.,"Smith Steel Blue Blacksmith's Sign ( page ) ( 00005000 5,000 )"
,Legendary Blacksmith,50,Improve Blacksmithing items to all available Qualities.,Earthforge Iron Gray
Regulus
,Regulus Harvester,5,Harvest your first unit of Regulus .,
,Expert Regulus Harvester,10,Harvest 25 units of Regulus .,
,Master Regulus Harvester,15,Harvest 100 units of Regulus .,
Furnisher
,Novice Blacksmithing Furnisher,5,Learn your first Blacksmithing Diagram .,
,Expert Blacksmithing Furnisher,15,Learn 25 Blacksmithing Diagrams .,
,Master Blacksmithing Furnisher,50,Learn 100 Blacksmithing Diagrams .,
Surveys
​,Apprentice Prospector,5,Harvest the resources from one Blacksmithing survey report.,
​,Expert Excavator,10,Harvest the resources from 10 Blacksmithing survey reports.,
​,Masterful Miner,15,Harvest the resources from 30 Blacksmithing survey reports.,
