Buff Name,Description,Sources,Icon
Ayleid Health Bonus,Gain 10% health for 10 minutes (30 minutes if in Cyrodiil),Ayleid Wells,
Batasha's Brew,"Increase idle stamina regeneration by 5% for 30 minutes. (Despite stating ""idle"", it works both in and out of combat, and both moving and standing still)",Batasha in Wrothgar,
Blessing of War,Increase Alliance Points gained by 20% for 1 hour. Only active while in Cyrodiil or Cyrodiil delves.,Defeating Delve bosses in Cyrodiil,
Firelight,Increases your Max Stamina by 5% for 30 minutes.,Lightbringer NPCs,
Looking for Group,Increases your Max Health by 25% and your Weapon and Spell Damage by 20%.,Entering a Group Dungeon through the Dungeon Finder while under level 50.,
Magicka Attunement,Increases your Spell Resistance by 6600 in Craglorn. Not effective in Trials or in Dragonstar Arena. for 1 hour.,Magical Aura available by completing Magical Anomalies in Craglorn,
Malacath's Blessing,Increases critical resistance by 1% for 30 minutes.,Malacath Priests in Wrothgar,
Nirncrux Infusion,Increases your Physical Resistance by 6600 in Craglorn. Not effective in Trials or in Dragonstar Arena. for 1 hour.,Stable Nirncrux available by completing Nirncrux Mines in Craglorn,
Revealed,"There's no place to hide in the arena for 1 second, every second. You cannot crouch, go in stealth or go invisible. Despite giving negative effects, it is considered a buff.",During the whole world boss combat of Kvatch Arena,
Scuttle Sprint,Increases Movement Speed by 20% for 3 minutes.,Harvesting a Scuttlebloom,
Trinimac's Blessing,Increases critical chance by 1% for 30 minutes.,Trinimac Priests in Wrothgar,
Yokudan Might,Increases your damage done by 5% in Craglorn. Not effective in Trials or in Dragonstar Arena for 1 hour.,Consectated Aura available by completing Anka-Ra Burial Sites in Craglorn,
