Stats,Soldier,Vanguard,Battle Medic,Scout
Loadouts
Maximum Magicka,30000,25616,34684,25616
Magicka Recovery,2200,2200,2458,2200
Maximum Health,70000,74824,65176,70000
Health Recovery,500,1274,500,500
Maximum Stamina,30000,30000,30000,30000
Stamina Recovery,1500,1500,1242,1758
Spell Damage,5000,5000,5000,5000
Spell Critical,33.0%,21.0%,33.0%,45.0%
Spell Penetration,0,0,0,5948
Weapon Damage,5000,5000,5000,5000
Weapon Critical,33.0%,21.0%,33.0%,45.0%
Physical Penetration,0,0,0,5948
Spell Resistance,16133,22081,16133,13159
Physical Resistance,16133,22081,16133,13159
Critical Resistance,1650,1650,1650,1650
