Set Name,Bonuses,Armor Weight
Aerie's Cry,"Class : Warden 2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with a Light Attack applies Eagle's Mark to your target for 12 seconds. Eagle's Mark causes an eagle to attack your target every 3 seconds after a 3 second delay, dealing 856 Physical damage per attack. Applying Eagle's Mark grants you Aerie's Call for 12 seconds, increasing your damage done by 10% against enemies with Eagle's Mark. This effect can occur every 3 seconds. You can have one Eagle's Mark active at a time.",All Weights
Aetheric Lancer,"Class : Templar 2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with Burning Light twice within 30 seconds creates a 5 meter area for 5 seconds. This effect can occur once every 3 seconds. While in the area, dealing damage with an Aedric Spear ability launches a spear at your target, dealing 1684 Magic damage and applying Sundered and increasing your Weapon and Spell Damage by 300 for 10 seconds. The damage scales off the higher of your Weapon and Spell Damage .",All Weights
Basalt-Blooded Warrior,"Class : Dragonknight 2 items : Adds 3-129 Magicka Recovery 3 items : Adds 28-1206 Maximum Health 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Casting an Earthen Heart ability grants you a Rock Stance for 10 seconds. While on your Primary Weapon you gain Molten Stance, granting you Major Heroism , generating 3 Ultimate every 1.5 seconds. While you are on your Secondary Weapon you gain Obsidian Stance, increasing your Healing Done and damage shields by 14%. Bar Swapping will swap your Stance automatically.",All Weights
Beacon of Oblivion,"Class : Sorcerer 2 items : Adds 34-1487 Armor 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 28-1206 Maximum Health 5 items : While you have a permanent pet active, gain 1840 Health and 1980 Armor. While you do not have a permanent pet active, increase your Damage Done and Healing Done by 15%. This value is reduced to 7% while affected by Battle Spirit .",All Weights
Corpseburster,"Class : Necromancer 2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Consuming a corpse causes the corpse to explode, dealing 1298 Disease Damage to enemies within 5 meters and applying the Diseased status effect and Minor Breach to them for 5 seconds, reducing their Physical and Spell Resistance by 2974. This effect can occur once every 0.5 seconds, scales off the higher of your Weapon and Spell Damage , and deals 10% more damage for each Grave Lord ability slotted.",All Weights
Gardener of Seasons,"Class : Warden 2 items : Adds 4% Healing Done 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Gain Herald of Spring, causing your Green Balance overheals to apply Minor Heroism for 3 seconds. Casting a Heal ability while Bracing consumes Herald of Spring and gives you Harbinger of Fall for 6 seconds, causing your Green Balance overheals to create an 8 meter area for 5 seconds, applying Major Cowardice to enemies and Minor Vitality to allies. You can create an area once every 5 seconds. When Harbinger of Fall ends, regain Herald of Spring.",All Weights
Monolith of Storms,"Class : Sorcerer 2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with a Storm Calling ability's initial hit or every 5th tick creates a Monolith near the enemy for 10 seconds, up to one every 1 second, up to 3 total. Your Monoliths within 28 meters of one another link together, dealing 742 Shock damage , scaling off of the higher of your Weapon and Spell Damage , every 2 seconds to enemies near the links, up to once every 2 seconds per enemy. Each Monolith active grants you 100 Weapon and Spell Damage .",All Weights
Nobility in Decay,"Class : Necromancer 2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 28-1206 Maximum Health 5 items : Casting a Bone Tyrant ability while in combat grants you Beautiful Corpse and Death's Favor for 16 seconds. Death's Favor increases your healing received and reduces damage taken by up to 12% based on your missing Health . This can occur once every 20 seconds, and is reduced by 2 seconds for each slotted Bone Tyrant ability. Casting a corpse consumer ability consumes Beautiful Corpse, treating you as a corpse.",All Weights
Pyrebrand,"Class : Dragonknight 2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Your Light Attacks deal 836 Flame damage over 6 seconds. This effect can activate Wildfire Embers, up to once every 10 seconds. Your fully-charged Heavy Attacks consume up to 3 stacks of your Wildfire Embers to deal 629 Flame damage around the target, dealing up to 200% more damage to enemies below 33% Health . The damage scales off the higher of your Weapon and Spell Damage increases by 25% per stack of Recursive Flame and Pyrebrand.",All Weights
Reawakened Hierophant,"Class : Arcanist 2 items : Adds 17-731 Maximum Magicka 2 items : Adds 17-731 Maximum Stamina 3 items : Adds 17-731 Maximum Magicka 3 items : Adds 17-731 Maximum Stamina 4 items : Adds 17-731 Maximum Magicka 4 items : Adds 17-731 Maximum Stamina 5 items : Casting a non- Ultimate Curative Runeform ability grants an effect for 6 seconds to your affected allies based on how many Crux you had. At 1 Crux, allies gain a damage shield that absorbs 3618 damage. At 2 Crux, allies gain Minor Heroism , granting 1 Ultimate every 1.5 seconds. At 3 Crux, allies gain Major Protection , reducing damage taken by 10%.",All Weights
Soulcleaver,"Class : Nightblade 2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While in combat, strengthens your Siphoning abilities at the cost of Ultimate : Increases the damage and healing of Siphoning abilities by 15%. Reduces the cost of Siphoning abilities by 15%. Casting Siphoning abilities drains you of 1 Ultimate and increases your damage done for 20 seconds by up to 12%, based on how high your current Health is.",All Weights
Spattering Disjunction,"Class : Arcanist 2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with an Arcanist ability applies two random status effects to your target and generates a Crux . This effect can occur once every 7 seconds. Dealing damage with a Herald of the Tome ability reduces this cooldown by 0.5 seconds, up to once every 1 second. Increases your damage done with status effects by 40%.",All Weights
Umbral Edge,"Class : Nightblade 2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 25-1096 Maximum Stamina 5 items : When you cast a Shadow ability, you gain Umbral Riposte for 3 seconds, up to once every 6 seconds. Umbral Riposte causes you to dodge the next attack made against you and automatically curses the attacking enemy, applying Major Vulnerability for 5 seconds, increasing their damage taken by 10%.",All Weights
Wrathsun,"Class : Templar 2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Dawn's Wrath ability, you gain a stack of Sunlight for 15 seconds, once per attack and up to 30 times. Each stack grants 21 Magicka Recovery . When at max stacks, stacks no longer refresh, your Templar skill line abilities deal 25% bonus damage but is reduced to 10% against players, and a Wrathful Nova is cast on the enemy. When Sunlight expires at max stacks, you lose 50% of your current Magicka .",All Weights
