Raw Material,Refined Into,Used To Make...,Level
Rawhide Scraps,Rawhide,Rawhide Armor,1 - 14
Hide Scraps,Hide,Hide Armor,16 - 24
Leather Scraps,Leather,Leather Armor,26 - 34
Thick Leather Scraps,Thick Leather,Full-Leather Armor,36 - 44
Fell Hide Scraps,Fell Hide,Fell Armor,46 - 50
Topgrain Hide Scraps,Topgrain Hide,Brigadine Armor,10 - 30
Iron Hide Scraps,Iron Hide,Ironhide Armor,40 - 60
Superb Hide Scraps,Superb Hide,Superb Armor,70 - 80
Shadowhide Scraps,Shadowhide,Shadowhide Armor,90 - 140
Rubedo Hide Scraps,Rubedo Leather,Rubedo Leather Armor,150 - 160
