Achievement,Points,Description,Reward
,Master Clothier,50,Attain a Clothing rank of 50.,"Clothier Purple Clothier's Sign ( page ) ( 00005000 5,000 )"
,Legendary Clothier,50,Improve Clothing items to all available Qualities.,Ironweed Violet
Bast
,Bast Harvester,5,Harvest your first unit of Bast .,
,Expert Bast Harvester,10,Harvest 25 units of Bast .,
,Master Bast Harvester,15,Harvest 100 units of Bast .,
Clean Pelts
,Clean Pelt Harvester,5,Harvest your first Clean Pelt .,
,Expert Clean Pelt Harvester,10,Harvest 25 Clean Pelts .,
,Master Clean Pelt Harvester,15,Harvest 100 Clean Pelts .,
Furnisher
,Novice Clothing Furnisher,5,Learn your first Clothing Pattern .,
,Expert Clothing Furnisher,15,Learn 25 Clothing Patterns .,
,Master Clothing Furnisher,50,Learn 100 Clothing Patterns .,
Surveys
​,Amateur Gatherer,5,Harvest the resources from one Clothing survey report.,
​,Novice Reaper,10,Harvest the resources from 10 Clothing survey reports.,
​,Deft Harvester,15,Harvest the resources from 30 Clothing survey reports.,
