Set Name,Traits Needed,Bonuses,Crafting Sites
Ashen Grip,2,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal Martial melee damage, you breathe fire to all enemies in front of you for 774 Flame Damage . This effect can occur once every 4 seconds and scales off the higher of your Weapon and Spell Damage .",Beacon Falls in Auridon Par Molag in Glenumbra Magmaflow Overlook in Stonefalls
Death's Wind,2,"2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : When you take melee damage while you are under 35% Health , you knockback and stun all enemies within 8 meters of you for 4 seconds. This effect can occur once every 15 seconds.",Eastshore Islets Camp in Auridon Chill House in Glenumbra Armature's Upheaval in Stonefalls
Night's Silence,2,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 15-657 Critical Chance 5 items : Ignore the Movement Speed penalty of Sneak .,Hightide Keep in Auridon Mesanthano's Tower in Glenumbra Steamfont Cavern in Stonefalls
Armor of the Seducer,3,2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Magicka Recovery 5 items : Reduces the cost of your Magicka abilities by 10%.,Temple of the Eight in Grahtwood Fisherman's Island in Stormhaven Berezan's Mine in Deshaan
Torug's Pact,3,2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : Decreases weapon enchantment cooldown by 33% and increases non Oblivion Damage weapon enchantment potency by 45%.,Fisherman's Isle in Grahtwood Hammerdeath Workshop in Stormhaven Lake Hlaalu Retreat in Deshaan
Twilight's Embrace,3,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increases your healing received by 10%.,Vineshade Lodge in Grahtwood Windridge Warehouse in Stormhaven Avayan's Farm in Deshaan
Hist Bark,4,"2 items : Adds 34-1487 Armor 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 28-1206 Maximum Health 5 items : While you are Bracing, you gain Major Evasion , reducing damage from area attacks by 20%.",Rootwatch Tower in Greenshade Trader's Rest in Rivenspire Hatchling's Crown in Shadowfen
Magnus' Gift,4,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you cast a Magicka ability, you have a 15% chance to negate that ability's cost.",Arananga in Greenshade Veawend Ede in Rivenspire Xal Haj-Ei Shrine in Shadowfen
Whitestrake's Retribution,4,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 3-129 Health Recovery 5 items : When you take damage while you are under 30% Health , you gain a damage shield that absorbs 303-13035 damage for 6 seconds. This effect can occur once every 15 seconds.",Lanalda Pond in Greenshade Westwind Lighthouse in Rivenspire Weeping Wamasu Falls in Shadowfen
Alessia's Bulwark,5,"2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : When you take damage from a Martial melee attack, you reduce the attacker's Weapon and Spell Damage by 6-300 for 5 seconds.",Chancel of Divine Entreaty in Malabal Tor Alezer Kotu in Alik'r Desert Hammerhome in Eastmarch
Song of Lamae,5,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : When you take damage while you are under 30% Health , you deal 1377 Magic Damage to the attacker and heal for the damage done. This effect can occur once every 3 seconds and scales off your Max Health .",Sleepy Senche Overlook in Malabal Tor Rkulftzel in Alik'r Desert Tinkerer Tobin's Workshop in Eastmarch
Vampire's Kiss,5,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Magicka 5 items : Adds 3-129 Weapon and Spell Damage 5 items : When you kill an enemy, you heal for 10512 Health over 10 seconds. This effect scales off the higher of your Max Magicka or Stamina .",Matthild's Last Venture in Malabal Tor Artisan's Oasis in Alik'r Desert Crimson Kada's Crafting Cavern in Eastmarch
Hunding's Rage,6,2 items : Adds 15-657 Critical Chance 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : Adds 6-300 Weapon and Spell Damage,Broken Arch in Reaper's March Wethers' Cleft in Bangkorai Trollslayer's Gully in The Rift
Night Mother's Gaze,6,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage you apply Major Breach to the enemy, reducing their Physical and Spell Resistance by 5948 for 4 seconds.",Old Town Cavern in Reaper's March Silaseli Ruins in Bangkorai Eldbjorg's Hideaway in The Rift
Willow's Path,6,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Health Recovery 5 items : Increases your Health , Magicka , and Stamina Recovery by 18%.",Greenspeaker's Grove in Reaper's March Viridian Hideaway in Bangkorai Smokefrost Vigil in The Rift
