Max Magicka / Stamina
Quality,Normal,Fine,Superior,Epic,Legendary
Bonus Range,25-956,63-994,102-1032,140-1058,178-1096
Item Level,1,25,63,102,140,178
4,76,114,153,191,229
6,114,153,191,229,267
8,140,178,216,255,293
10,165,204,242,280,318
12,191,229,267,306,344
14,216,255,293,331,369
16,242,280,318,357,395
18,267,306,344,382,420
20,293,331,369,408,446
22,318,357,395,433,471
24,344,382,420,459,497
26,369,408,446,484,522
28,395,433,471,510,548
30,420,459,497,535,573
32,446,484,522,561,599
34,471,510,548,586,624
36,497,535,573,612,650
38,522,561,599,637,675
40,548,586,624,663,701
42,573,612,650,688,726
44,599,637,675,714,752
46,624,663,701,739,777
48,650,688,726,765,803
50,675,714,752,790,828
10,675,714,752,777,816
20,701,739,777,803,841
30,714,752,790,816,854
40,739,777,816,841,879
50,752,790,828,854,892
60,777,816,854,879,918
70,790,828,867,892,930
80,816,854,892,918,956
90,828,867,905,930,969
100,854,892,930,956,994
110,867,905,943,969,1007
120,892,930,969,994,1032
130,905,943,981,1007,1045
140,930,969,1007,1032,1071
150,943,981,1020,1045,1083
160,956,994,1032,1058,1096
