Quality,Normal,Fine,Superior,Epic,Legendary
Spell / Weapon Critical
Bonus Range,19-726,48-755,77-784,106-804,135-833
Item Level,1,19,48,77,106,135
4,58,87,116,145,174
6,87,116,145,174,203
8,106,135,164,193,222
10,125,155,184,213,242
12,145,174,203,232,261
14,164,193,222,251,281
16,184,213,242,271,300
18,203,232,261,290,319
20,222,251,281,310,339
22,242,271,300,329,358
24,261,290,319,348,377
26,281,310,339,368,397
28,300,329,358,387,416
30,319,348,377,406,436
32,339,368,397,426,455
34,358,387,416,445,474
36,377,406,436,465,494
38,397,426,455,484,513
40,416,445,474,503,532
42,436,465,494,523,552
44,455,484,513,542,571
46,474,503,532,562,591
48,494,523,552,581,610
50,513,542,571,600,629
10,513,542,571,591,620
20,532,562,591,610,639
30,542,571,600,620,649
40,562,591,620,639,668
50,571,600,629,649,678
60,591,620,649,668,697
70,600,629,658,678,707
80,620,649,678,697,726
90,629,658,687,707,736
100,649,678,707,726,755
110,658,687,717,736,765
120,678,707,736,755,784
130,687,717,746,765,794
140,707,736,765,784,813
150,717,746,775,794,823
160,726,755,784,804,833
