Spell / Physical Resistance
Quality,Normal,Fine,Superior,Epic,Legendary
Bonus Range,69-2595,173-2698,276-2802,380-2871,484-2975
Item Level,1,69,173,276,380,484
4,207,311,415,519,622
6,311,415,519,622,726
8,380,484,588,692,795
10,449,553,657,761,864
12,519,622,726,830,934
14,588,692,795,899,1003
16,657,761,864,968,1072
18,726,830,934,1038,1141
20,795,899,1003,1107,1211
22,864,968,1072,1176,1280
24,934,1038,1141,1245,1349
26,1003,1107,1211,1314,1418
28,1072,1176,1280,1384,1487
30,1141,1245,1349,1453,1556
32,1211,1314,1418,1522,1626
34,1280,1384,1487,1591,1695
36,1349,1453,1556,1660,1764
38,1418,1522,1626,1729,1833
40,1487,1591,1695,1799,1902
42,1556,1660,1764,1868,1972
44,1626,1729,1833,1937,2041
46,1695,1799,1902,2006,2110
48,1764,1868,1972,2076,2179
50,1833,1937,2041,2145,2249
10,1833,1937,2041,2110,2214
20,1902,2006,2110,2179,2283
30,1937,2041,2145,2214,2318
40,2006,2110,2214,2283,2387
50,2041,2145,2249,2318,2422
60,2110,2214,2318,2387,2491
70,2145,2249,2352,2422,2525
80,2214,2318,2422,2491,2595
90,2249,2352,2456,2525,2629
100,2318,2422,2525,2595,2698
110,2352,2456,2560,2629,2733
120,2422,2525,2629,2698,2802
130,2456,2560,2664,2733,2837
140,2525,2629,2733,2802,2906
150,2560,2664,2768,2837,2940
160,2595,2698,2802,2871,2975
