Rank,Inspiration Required for Next Rank,Total Inspiration for Rank
1,640,0
2,3995,640
3,6920,4635
4,8900,11555
5,10560,20455
6,13040,31015
7,16360,44055
8,17960,60415
9,21880,78375
10,24400,100255
11,26900,124655
12,29400,151555
13,30200,180955
14,31000,211155
15,32600,242155
16,34200,274755
17,35800,308955
18,39610,344755
19,43420,384365
20,45750,427785
21,48080,473535
22,50500,521615
23,52920,572115
24,55560,625035
25,58200,680595
26,61280,738795
27,64360,800075
28,67660,864435
29,70960,932095
30,74700,1003055
31,78440,1077755
32,82400,1156195
33,86360,1238595
34,90980,1324955
35,95600,1415935
36,100440,1511535
37,105280,1611975
38,116280,1717255
39,128600,1833535
40,135200,1962135
41,141800,2097335
42,149280,2239135
43,156760,2388415
44,164647,2545175
45,173073,2709822
46,181840,2882895
47,191080,3064735
48,200760,3255815
49,211320,3456575
50,-,3667895
