Clue,Location,Notes
Within sight of Mnem.,Just outside the Scroll Temple of Mnem,(map),"Members of the Covenant or Pact will not be able to access this unless the Gate of Mnem is opened.  For this to occur, both Castles Faregyl and Bloodmayne must not be in the control of the Dominion ."
Ascending toward prophecy and dawn.,Just outside the Scroll Temple of Altadoon,(map),"Members of the Covenant or Pact will not be able to access this unless the Gate of Altadoon is opened.  For this to occur, both Castles Faregyl and Black Boot must not be in the control of the Dominion ."
Helping establish a new town.,At Vlastarus,(map),
Tooth of Jone or Jode.,In a boat at Lunar Fang Docks,(map),Guarded by several werewolves
Ruined spire peering north to the Tower.,In a tower at Homestead Ruins,(map),
Hears hacking to the east.,"At Carmala Outlook , northeast of Hackdirt",(map),
Upon timbered fingers.,At Wooden Hand Outlook,(map),
Ruin's crown between three castles.,At Wenyandawik,(map),
Where archers of the Eight train.,In the yard at the Abbey of the Eight,(map),
Six-legged assassins crawl the cave.,In the last chamber of Bloodmayne Cave,(map),
The Black Dagger's prize.,In the last chamber of Breakneck Cave,(map),
Singing straw's song.,In the last chamber of Haynote Cave,(map),
Walk the Shadowed Path.,On the south side of the last chamber of Nisin Cave,(map),
At the end of a bumpy road.,At Serrin Vol 's altar in Pothole Caverns,(map),
Where bear and ogre burrow.,In the back of Serpent Hollow Cave,(map),
