,Name,Drink Level,Drink Type,Health,Magicka,Stamina,Dur (mins)
,Increase Attribute Recovery by,
,Golden Lager,1,Alcohol,0,0,0,35
,Nut Brown Ale,1,Alcohol,0,0,0,35
,Red Rye Beer,1,Alcohol,0,0,0,35
,Jasmine Tea,1,Tea,0,0,0,35
,Mint Chai,1,Tea,0,0,0,35
,Rose Herbal Tea,1,Tea,0,0,0,35
,Acai Tonic Infusion,1,Tonic,0,0,0,35
,Ginkgo Tonic,1,Tonic,0,0,0,35
,Guarana Tonic,1,Tonic,0,0,0,35
,Bog-Iron Ale,5,Alcohol,0,0,0,35
,Mazte,5,Alcohol,0,0,0,35
,Surilie Syrah Wine,5,Alcohol,0,0,0,35
,Bitter Tea,5,Tea,0,0,0,35
,Comberry Chai,5,Tea,0,0,0,35
,Lotus Tea,5,Tea,0,0,0,35
,Black Coffee,5,Tonic,0,0,0,35
,Ginseng Tonic,5,Tonic,0,0,0,35
,Mate Infusion,5,Tonic,0,0,0,35
,Clarified Syrah Wine,10,Alcohol,0,0,0,35
,Four-Eye Grog,10,Alcohol,0,0,0,35
,Lemon Flower Sake,10,Alcohol,0,0,0,35
,Honeyberry Tea,10,Tea,0,0,0,35
,Morning Reveille Tea,10,Tea,0,0,0,35
,Sweetsting Tea,10,Tea,0,0,0,35
,Meady-Matey Infusion,10,Tonic,0,0,0,35
,Tonsil Tingle Tonic,10,Tonic,0,0,0,35
,Yellow Goblin Tonic,10,Tonic,0,0,0,35
,Old Clear-Eye Whiskey,15,Alcohol,0,0,0,35
,Red Hippocras,15,Alcohol,0,0,0,35
,Tawny Port,15,Alcohol,0,0,0,35
,Gingerose Tea,15,Tea,0,0,0,35
,Green Scourgut Tea,15,Tea,0,0,0,35
,Sourflower Tea,15,Tea,0,0,0,35
,Isinmate Infusion,15,Tonic,0,0,0,35
,Kelp Kaveh,15,Tonic,0,0,0,35
,Sweetberry Tonic,15,Tonic,0,0,0,35
,Eltheric Hooch,20,Alcohol,0,0,0,35
,Gossamer Mazte,20,Alcohol,0,0,0,35
,Bitterlemon Tea,20,Tea,0,0,0,35
,Seaflower Tea,20,Tea,0,0,0,35
,Treacleberry Tea,20,Tea,0,0,0,35
,Barley Nectar,20,Alcohol,0,0,175,35
,Ginkgo Twist Tonic,20,Tonic,0,0,0,35
,Taneth Coffee,20,Tonic,0,0,0,35
,Yerba Zinger Tonic,20,Tonic,0,0,0,35
,Ginger Wheat Beer,25,Alcohol,0,0,0,35
,Honey Rye,25,Alcohol,0,0,0,35
,Mermaid Whiskey,25,Alcohol,0,0,0,35
,Enlightenment Tea,25,Tea,0,0,0,35
,Mead de Menthe,25,Tea,0,0,0,35
,Thrassian Chai,25,Tea,0,0,0,35
,Athlete's Guzzle,25,Tonic,0,0,210,35
,Busy Bee Brew,25,Tonic,0,0,0,35
,Ginseng Sling,25,Tonic,0,0,0,35
,Mulled Wine,30,Alcohol,0,0,0,35
,Sour Mash,30,Alcohol,0,0,0,35
,Spiced Mazte,30,Alcohol,0,0,0,35
