,Beverage,Description,Price
Effects
,Crown Health Vigor Liquor,"Increase Health Recovery by 621 for 2 hours. These effects are scaled based on your level, up to Veteran Rank 10.",(?)
,Crown Star-Magic Tea,"Increase Magicka Recovery by 565 for 2 hours. These effects are scaled based on your level, up to Veteran Rank 10.",(?)
,Crown Endurance Tonic,"Increase Stamina Recovery by 565 for 2 hours. These effects are scaled based on your level, up to Veteran Rank 10.",(?)
,Crown Stout Magic Liqueur,Use of this food increases the regeneration rate of Health and Magicka .,(?)
Increase Magicka Recovery by 493 and Health Recovery by 539 for 1 hour. These effects are scaled based on your level.
,Crown Vigorous Tincture,Use of this food increases the regeneration rate of Health and Stamina .,(?)
Increase Stamina Recovery by 493 and Health Recovery by 539 for 1 hour. These effects are scaled based on your level.
,Crown Crate Refreshing Drink,"The revivifying herbs in this Refreshing Drink will improve your Health , Magicka , and Stamina for 30 minutes.",(?)
"Increase Health Recovery by 446, Magicka Recovery by 410, and Stamina Recovery by 410 for 30 minutes. These effects are scaled based on your level."
,Crown Refreshing Drink,"Increase Health Recovery by 446, Magicka Recovery by 410, and Stamina Recovery by 410 for 2 hours. These effects are scaled based on your level.",(?)
