Set Name,Bonuses,Location(s),Set Type
Lamia's Song,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 25-1096 Maximum Magicka 5 items : When you use an Ultimate ability, you and your group members within 20 meters of you heal for 0-25 Health and restore 0-25 Magicka and Stamina per Ultimate spent.",Arx Corinium,Light Armor
Medusa,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : Adds 20-892 Critical Chance 5 items : Gain Minor Force at all times, increasing your Critical Damage by 10%.",Arx Corinium,Heavy Armor
Undaunted Infiltrator,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : When you use an ability that costs Magicka while in combat, you increase the damage of your Light and Heavy Attacks against monsters by 38-1645 for 10 seconds.",Arx Corinium,Medium Armor
Jailbreaker,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Stamina Recovery 5 items : Adds 3-142 Stamina Recovery 5 items : Gain Minor Expedition at all times, increasing your Movement Speed by 15%.",The Banished Cells,Medium Armor
Sanctuary,2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 25-1096 Maximum Magicka 5 items : Increases your healing received by 10% for you and up to 11 group members within 10 meters of you. This bonus persists through death.,The Banished Cells,Light Armor
Tormentor,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Adds 4% Healing Taken 5 items : When you deal direct damage with a Blink, Charge, Leap, Teleport, or Pull ability, you gain 84-3642 Physical and Spell Resistance , taunt the first enemy hit to attack you for 15 seconds, and heal for 45% of the damage done.",The Banished Cells,Heavy Armor
Bone Pirate's Tatters,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 25-1096 Maximum Stamina 5 items : While you have a drink buff active, your Max Stamina is increased by 46-2000 and Stamina Recovery by 3-133.",Blackheart Haven,Medium Armor
Knight-Errant's Mail,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 10-450 Weapon and Spell Damage to your One Hand and Shield abilities. When you use a One Hand and Shield ability, you heal for 35-1537 Health .",Blackheart Haven,Heavy Armor
Undaunted Unweaver,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 15-657 Critical Chance 5 items : When you use an ability that costs Stamina while in combat, you increase the damage of your Light and Heavy Attacks against monsters by 38-1645 for 10 seconds.",Blackheart Haven,Light Armor
Nikulas' Heavy Armor,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : When you Block , you gain a stack of Nikulas' Resolve for 5 seconds, up to once every half second. After 8 stacks you consume Nikulas' Resolve and deflect the next direct damaging attack made against you within 5 seconds, avoiding it completely.",Blessed Crucible,Heavy Armor
