Level,Inspiration Req'd,Δ Delta,Level,Inspiration Req'd,Δ Delta
1,640,0,26,61280,3080
2,3995,3355,27,64360,3080
3,6920,2925,28,67660,3300
4,8900,1980,29,70960,3300
5,10560,1660,30,74700,3740
6,13040,2480,31,78440,3740
7,16360,3320,32,82400,3960
8,17960,1600,33,86360,3960
9,21880,3920,34,90980,4620
10,24311,2431,35,95600,4620
11,26989,2678,36,100440,4840
12,29400,2411,37,105280,4840
13,30200,800,38,116280,11000
14,31000,800,39,128600,12320
15,32600,1600,40,135200,6600
16,34200,1600,41,141800,6600
17,35800,1600,42,149280,7480
18,39610,3810,43,156760,7480
19,43420,3810,44,164647,7887
20,45750,2330,45,173073,8426
21,48080,2330,46,181840,8767
22,50500,2420,47,191080,9240
23,52920,2420,48,200760,9680
24,55560,2640,49,211320,10560
25,58200,2640,50,0,n/a
