​,Master Enchanter,50,Attain an Enchanting rank of 50.,"Enchanter Tangerine Enchanter's Sign ( 00005000 5,000 )"
Achievement,Points,Description,Reward
Rune Translation
​,Potency,10,Translate all of the Potency runes.,Potency Blue
​,Negative Potency,10,Translate all of the Negative Potency runes.,
​,Positive Potency,10,Translate all of the Positive Potency runes.,
​,Ruby Potency,10,Translate all of the Champion 150 and Champion 160 runestones.,"Enchanting Gem ( 00005000 5,000 )"
​,Indeko Discoverer,10,Translate the Indeko rune.,
​,Aspect,10,Translate all of the Aspect runes.,Aspect Red
​,Essence,10,Translate all of the Essence runes.,Essence Green
Mundane Runes
,Mundane Rune Harvester,5,Harvest your first Mundane Rune .,
,Expert Mundane Rune Harvester,10,Harvest 25 Mundane Runes .,
,Master Mundane Rune Harvester,15,Harvest 100 Mundane Runes .,
Furnisher
,Novice Enchanting Furnisher,5,Learn your first Enchanting Praxis .,
,Expert Enchanting Furnisher,15,Learn 15 Enchanting Praxises .,
,Master Enchanting Furnisher,50,Learn 50 Enchanting Praxises .,
Surveys
​,Rune Tapper,5,Harvest the resources from one Enchanting survey report.,
​,Rune Collector,10,Harvest the resources from 10 Enchanting survey reports.,
​,Expert Runefinder,15,Harvest the resources from 30 Enchanting survey reports.,
