,Name,Food Level,Dish Type,Health,Magicka,Stamina,Dur (mins)
,Increase Attribute Maximum Value by,
,Chicken Breast,1,Meat,385,0,0,35
,Fishy Stick,1,Meat,0,0,0,35
,Roast Pig,1,Meat,0,0,0,35
,Baked Apples,1,Fruit,0,350,0,35
,Banana Surprise,1,Fruit,0,350,0,35
,Grape Preserves,1,Fruit,0,0,0,35
,Baked Potato,1,Vegetable,0,0,350,35
,Carrot Soup,1,Vegetable,0,0,0,35
,Roast Corn,1,Vegetable,0,0,0,35
,Flank Steak,5,Meat,0,0,0,35
,Grilled Hare,5,Meat,0,0,0,35
,Roast Venison,5,Meat,0,0,0,35
,Melon Jelly,5,Fruit,0,0,0,35
,Pumpkin Puree,5,Fruit,0,0,0,35
,Tomato Soup,5,Fruit,0,0,0,35
,Borscht,5,Vegetable,0,0,0,35
,Green Salad,5,Vegetable,0,0,0,35
,Steamed Radishes,5,Vegetable,0,0,0,35
,Hunter's Pie,10,Meat,0,0,0,35
,Rabbit Pasty,10,Meat,0,0,0,35
,Pumpkin Cheesecake,10,Fruit,0,0,0,35
,Carrot Cheesecake,10,Vegetable,0,0,0,35
,Gilane Garlicky Greens,10,Vegetable,0,0,0,35
,Radishes in Rice,10,Vegetable,0,0,0,35
,Pan-Fried Trout,15,Meat,0,0,0,35
,Rabbit Millet Pilaf,15,Meat,0,0,0,35
,Stir-Fried Garlic Beef,15,Meat,0,0,0,35
,Deshaan Honeydew Hors D'oeuvres,15,Fruit,0,0,0,35
,Fried Green Tomatoes,15,Fruit,0,0,0,35
,Balmora Cabbage Biscuits,15,Vegetable,0,0,1400,35
,Port Hunding Cheese Fries,15,Vegetable,0,0,0,35
,Spicy Beet Salad,15,Vegetable,0,0,0,35
,Breton Pork Sausage,20,Meat,0,0,0,35
,Venison Pasty,20,Meat,0,0,0,35
,Whiterun Cheese-Baked Trout,20,Meat,0,0,0,35
,Garlic Pumpkin Seeds,20,Fruit,0,0,0,35
,Pellitine Tomato Rice,20,Fruit,0,0,0,35
,Redoran Peppered Melon,20,Fruit,0,0,0,35
,Alik'r Beets with Goat Cheese,20,Vegetable,0,0,1750,35
,Nibenese Garlic Carrots,20,Vegetable,0,0,0,35
,Cheese Pork Schnitzel,25,Meat,0,0,0,35
,Chicken and Biscuits,25,Meat,0,0,0,35
,Salted Cod,25,Meat,0,0,0,35
,Cantaloupe Bread,25,Fruit,0,0,0,35
,Cinnamon Gorapples,25,Fruit,0,0,0,35
,Eidar Radish Salad,25,Vegetable,0,0,0,35
,Potato Rice Blintzes,25,Vegetable,0,0,0,35
,Rihad Beet and Garlic Salad,25,Vegetable,0,0,0,35
,Elinhir Roast Anteloupe,30,Meat,0,0,0,35
,Hare in Garlic Sauce,30,Meat,0,0,0,35
,Senchal Curry Fish and Rice,30,Meat,0,0,0,35
,Stormhold Baked Bananas,30,Fruit,0,0,0,35
,Cinnamon Grape Jelly,30,Fruit,0,0,0,35
,Cyrodilic Pumpkin Fritters,30,Fruit,0,0,0,35
,Chorrol Corn on the Cob,30,Vegetable,0,0,0,35
,Garlic Mashed Potatoes,30,Vegetable,0,0,0,35
,Jerall View Inn Carrot Cake,30,Vegetable,0,0,0,35
,Bruma Jugged Rabbit,35,Meat,0,0,0,35
,Camlorn Pork Sausage,35,Meat,0,0,0,35
,Crispy Cheddar Chicken,35,Meat,0,0,0,35
,Apple Cobbler Supreme,35,Fruit,0,2800,0,35
,Clan Mother's Banana Pilaf,35,Fruit,0,0,0,35
,Rimmen Raisin Cookies,35,Fruit,0,0,0,35
,Indoril Radish Tartlets,35,Vegetable,0,0,0,35
,Roasted Beet and Millet Salad,35,Vegetable,0,0,0,35
,Twice-Baked Potatoes,35,Vegetable,0,0,0,35
,Mammoth Snout Pie,40,Meat,0,0,0,35
,Summer Sundas Soup,40,Fruit,0,0,0,35
,Cyrodilic Corn Bread,40,Vegetable,0,0,0,35
,Akaviri Pork Fried Rice,45,Meat,0,0,0,35
,Solstheim Elk and Scuttle,45,Meat,0,0,0,35
,Mage's Gorapple Porridge,45,Fruit,0,0,0,35
,Melon-Chevre Salad,45,Fruit,0,0,0,35
,Vvardenfell Ash Yam Loaf,45,Vegetable,0,0,0,35
,Curried Kwama Scrib Risotto,',Meat,0,0,0,35
,Millet-Stuffed Pork Loin,',Meat,0,0,0,35
,Hag Fen Pumpkin Pie,',Fruit,0,0,0,35
,Orcrest Garlic Apple Jelly,',Fruit,0,0,0,35
,Velothi Cabbage Soup,',Vegetable,0,0,0,35
,Dunmeri Jerked Horse Haunch,',Meat,0,0,0,35
,Kwama Egg Quiche,',Meat,0,0,0,35
,Combwort Flatbread,',Fruit,0,0,0,35
,Pickled Carrot Slurry,',Vegetable,0,0,0,35
,The Skald-King's Patty Melt,',Meat,0,0,0,35
,House Hlaalu Pumpkin Risotto,',Fruit,0,0,0,35
,Nord Warrior Potato Porridge,',Vegetable,0,0,0,35
,Garlic-and-Pepper Venison Steak,',Meat,0,0,0,35
,Tomato Garlic Chutney,',Fruit,0,0,0,35
,Bravil's Best Beet Risotto,',Vegetable,0,0,0,35
