,Food,Description,Price
Effects
,Crown Hearty Health Hash,"Increase Max Health by 5905 for 2 hours. These effects are scaled based on your level, up to Veteran Rank 10.",(?)
,Crown Mystical Mince Pie,"Increase Max Magicka by 5373 for 2 hours. These effects are scaled based on your level, up to Veteran Rank 10.",(?)
,Crown Staunchness Stew,"Increase Max Stamina by 5373 for 2 hours. These effects are scaled based on your level, up to Veteran Rank 10.",(?)
,Crown Combat Mystic's Stew,Use of this food increases maximum Health and Magicka.,(?)
Increase Max Magicka by 4575 and Max Health by 5054 for 1 hour. These effects are scaled based on your level.
,Crown Vigorous Ragout,Use of this food increases maximum Health and Stamina.,(?)
Increase Max Stamina by 4575 and Max Health by 5054 for 1 hour. These effects are scaled based on your level.
,Crown Crate Fortifying Meal,"The revivifying ingredients in this Fortifying Meal will increase your Health, Magicka, and Stamina for one hour.",(?)
"Increase Max Health by 3936, Max Magicka by 3617, and Max Stamina by 3617 for 1 hour. These effects are scaled based on your level."
,Crown Fortifying Meal †,"Increase Max Health by 3936, Max Magicka by 3617, and Max Stamina by 3617 for 2 hours. These effects are scaled based on your level.",0000100 100 (20 units)
