Zone: Imperial City ( view on map ) ( lore page ),,Zone: Imperial City ( view on map ) ( lore page ),
,Zone: Imperial City ( view on map ) ( lore page ),
Disputed
Zone Story Quests,8
Points of Interest,6
Striking Locales,6
Set Stations,3
Group Dungeons,2
World Bosses,11
Skyshards,13
Location
The center of Cyrodiil
Loading Screen
"At the center of Cyrodiil stands the Imperial City. There, the Three Alliances vie with Daedric overlords and each other for control of the White-Gold Tower."
Achievements • Books • Fish • Quest Items
