Dust Ounce Level Needed Necklace Ring Pewter Dust Pewter Ounce 1 3 2 4 5 3 6 6 4 8 8 5 10 9 6 12 11 7 14 12 8 16 14 9 18 15 10 20 17 11 22 19 12 24 20 13 Copper Dust Copper Ounce 26 5 3 28 6 4 30 8 5 32 9 6 34 11 7 36 12 8 38 14 9 40 15 10 42 17 11 44 18 12 46 20 13 48 21 14 50 23 15,Dust Ounce,Level,Needed,Necklace,Ring,Pewter Dust Pewter Ounce,1,3,2,4,5,3,6,6,4,8,8,5,10,9,6,12,11,7,14,12,8,16,14,9,18,15,10,20,17,11,22,19,12,24,20,13,Copper Dust Copper Ounce,26,5,3,28,6,4,30,8,5,32,9,6,34,11,7,36,12,8,38,14,9,40,15,10,42,17,11,44,18,12,46,20,13,48,21,14,50,23,15,Dust Ounce Level Needed Necklace Ring Silver Dust Silver Ounce 10 6 4 20 9 6 30 12 8 40 15 10 50 18 12 60 21 14 70 24 16 Electrum Dust Electrum Ounce 80 8 6 90 12 8 100 16 10 110 20 12 120 24 14 130 28 16 140 32 18 Platinum Dust Platinum Ounce 150 15 10 160 150 100,Dust Ounce,Level,Needed,Necklace,Ring,Silver Dust Silver Ounce,10,6,4,20,9,6,30,12,8,40,15,10,50,18,12,60,21,14,70,24,16,Electrum Dust Electrum Ounce,80,8,6,90,12,8,100,16,10,110,20,12,120,24,14,130,28,16,140,32,18,Platinum Dust Platinum Ounce,150,15,10,160,150,100
Dust Ounce,Level,Needed
Necklace,Ring
Pewter Dust Pewter Ounce,1,3,2
4,5,3
6,6,4
8,8,5
10,9,6
12,11,7
14,12,8
16,14,9
18,15,10
20,17,11
22,19,12
24,20,13
Copper Dust Copper Ounce,26,5,3
28,6,4
30,8,5
32,9,6
34,11,7
36,12,8
38,14,9
40,15,10
42,17,11
44,18,12
46,20,13
48,21,14
50,23,15
Dust Ounce,Level,Needed
Necklace,Ring
Silver Dust Silver Ounce,10,6,4
20,9,6
30,12,8
40,15,10
50,18,12
60,21,14
70,24,16
Electrum Dust Electrum Ounce,80,8,6
90,12,8
100,16,10
110,20,12
120,24,14
130,28,16
140,32,18
Platinum Dust Platinum Ounce,150,15,10
160,150,100
