Achievement,Points,Description,Reward
,Jewelry Crafter,5,Learn the art of Jewelry Crafting .  This can be learned in the Summerset Isle or by owning the Summerset chapter and interacting with a Jewelry Crafting Station .,
​,Jewelry Trait Master,15,"Research every Jewelry Trait at least once, regardless of whether from a ring or necklace.",
,Master Jewelry Crafter,50,Attain a Jewelry Crafting rank of 50.,Antique Silver
,Legendary Jewelry Crafter,50,Improve Jewelry Crafting items to all available Qualities.,Divine Gold
,Ochre Harvester,5,Harvest your first unit of Ochre .,
,Expert Ochre Harvester,10,Harvest 25 units of Ochre .,
,Master Ochre Harvester,15,Harvest 100 units of Ochre .,
Surveys
​,Precious Ore Seeker,5,Harvest the resources from one Jewelry Crafting survey report.,
​,Lustrous Metal Finder,10,Harvest the resources from 10 Jewelry Crafting survey reports.,
​,Seam Scout,15,Harvest the resources from 30 Jewelry Crafting survey reports.,
