Set,Weight,complete set bonus
Song of Lamae,Any,"When you take damage while you are under 30% Health, you deal 1377 Magic Damage to the attacker and heal for the damage done. This effect can occur once every 3 seconds and scales off your Max Health."
Oblivion's Foe,Any,"When you deal damage with Soul Magic, you mark the target's soul dealing 1875 Magic Damage over 10 seconds, as long as they are not already marked from you. This effect scales off the higher of your Weapon and Spell Damage."
Coldharbour's Favorite,Any,"Healing yourself or a group member summons Coldharbour's Favorite, who after 2 seconds, begins healing you and group members near him for 4648 Health over 6 seconds based on the higher of your Max Magicka or Stamina. Dealing damage summons Coldharbour's Favorite, who after 2 seconds, explodes, damaging enemies near him for 2352 Magic damage over 6 seconds based on the higher of your Weapon and Spell Damage. Coldharbour's Favorite can only be summoned once every 10 seconds."
Silver Rose Vigil,Heavy,"When you Block, gain a stack of Realmshaper for 15 seconds, gaining up to 1 stack every 0.5 seconds. When you reach 3 stacks, you consume them and launch necrotic energy at your attacker, dealing 3226 Magic damage and applying Major Maim for 12 seconds, reducing their damage done by 10%. Once you fire the necrotic energy, you cannot gain additional stacks of Realmshaper for 12 seconds. Damage scales off your Max Health."
Turning Tide,Heavy,"When you Block, you gain Flowing Water for 10 seconds, causing your next Bash attack to deal 2223 Magic damage to up to 6 enemies in a 5 by 10 meter line, and apply Major Vulnerability for 10 seconds, increasing their damage taken by 10%. This effect can occur once every 15 seconds and scales off your Max Health."
Syrabane's Grip,Light,"When you Block Flame, Frost, Shock, or Magic Damage , you restore 18-805 Magicka. This effect can occur once every 1 second."
Bahraha's Curse,Any,"When you deal damage, you have a 25% chance to create desecrated ground for 5 seconds, which reduces the Movement Speed of enemies within 3.5 meters by 60%, damages them for 349 Magic damage every 1 second, and heals you for 100% of the damage done. This effect can occur once every 5 seconds and the damage scales off your Max Health."
Trinimac's Valor,Light,"When you cast a damage shield, you call down a fragment of Trinimac that heals you and group members for 1396 Health and damages enemies for 1396 Magic damage in a 5 meter radius after a 2 second delay. This effect can occur once every 5 seconds and scales with the higher of your Max Magicka or Stamina."
War Maiden,Light,Adds 13-600 Weapon and Spell Damage to your Magic Damage abilities
Dark Convergence,Light,"Casting abilities that leave an effect on the ground will create an area that applies a 60% snare and pulls enemies after a 1 second delay, stunning them for 1 second. After 4 seconds, the area deals 821 Magic damage to all enemies in the 10 meter area, and 1642 Magic damage to enemies within 3 meters of the center, increasing by 50% for each target. This effect can occur once every 25 seconds and scales off the higher of your Weapon and Spell Damage."
Galerion's Revenge,Light,"When you deal damage with a Light or Heavy Attack, you put a Mark of Revenge on the enemy for 15 seconds. After stacking 5 Marks of Revenge on an enemy they detonate for 1462 Magic Damage . You can only apply a stack once every half second and the damage scales off the higher of your Weapon and Spell Damage."
Defending Warrior,Heavy,"When you Block, you deal 1196 Magic damage to all enemies within 10 meters of you and heal for 100% of the damage done. This effect can occur once every 5 seconds and scales off your Max Health."
Destructive Mage,Light,"When you deal damage with a fully-charged Heavy Attack, you place a bomb on the enemy for 10 seconds. When they are hit with a fully-charged Heavy Attack the bomb detonates, dealing 952 Magic damage all enemies within 8 meters. This effect can occur once every 4 seconds and scales off the higher of your Weapon and Spell Damage."
Aetheric Lancer,Any,"Dealing damage with Burning Light twice within 30 seconds creates a 5 meter area for 5 seconds. This effect can occur once every 6 seconds. While in the area, dealing damage with an Aedric Spear ability launches a spear at your target, dealing 1684 Magic damage and applying Sundered and increasing your Weapon and Spell Damage by 300 for 6 seconds. The damage scales off the higher of your Weapon and Spell Damage."
Corpseburster,Any,"Consuming a corpse causes the corpse to explode, dealing 1298 Magic Damage to enemies within 5 meters, and increasing the damage by 10% for each Grave Lord ability slotted. This effect can occur once every 0.5 seconds and scales off the higher of your Weapon and Spell Damage. Enemies damaged by the explosion gain Minor Breach for 5 seconds, reducing their Physical and Spell Resistance by 2974."
Kjalnar's Nightmare,Any,"Damaging an enemy with a Light Attack puts a Bone stack on them for 5 seconds, up to once every 0.5 seconds. At 5 stacks, an undodgeable skeletal hand attacks your enemy after 1 second, knocking them into the air and stunning them for 3 seconds, or dealing 2221 Magic damage if they cannot be stunned. Enemies then become immune to Kjalnar's Nightmare stacks for 4 seconds. The damage scales off the higher of your Weapon and Spell Damage."
Nerien'eth,Any,"When you deal direct damage, you have a 15% chance to summon a Lich crystal that explodes after 2 seconds, dealing 1360 Magic damage to all enemies within 4 meters. This effect can occur once every 3 seconds and scales off the higher of your Weapon and Spell Damage."
Scourge Harvester,Any,"When you take damage, you have a 10% chance to tether to your enemy for 6 seconds, as long as you remain within 8 meters of them. While tethered, you deal 311 Magic damage every second to the enemy, heal for the damage caused, and gain Major Vitality, increasing your healing received and damage shield strength by 12%. This effect can occur once every 6 seconds and scales off your Max Health."
Shadowrend,Any,"When you take damage, you summon a shadowy Clannfear for 15 seconds. The Clannfear's attacks deal 615 Magic damage and apply Minor Maim, reducing the target's damage done by 5% for 2 seconds. The Clannfear can be summoned once every 15 seconds and its damage scales off your Max Health."
Baron Thirsk,Any,"On dealing area direct damage, mark a target for 6 seconds. Every 2 seconds after, an Explosive Scamp is spawned nearby and detonates after 1 second, dealing 362 Magic damage to up to 6 enemies within 4 meters and applying Minor Timidity for 10 seconds, draining 1 Ultimate every 1.5 seconds. Each Explosive Scamp spawned deals 100% increased damage. This effect can occur once every 25 seconds and scales off the higher of your Weapon and Spell Damage."
