Set Name,Bonuses,Head Piece Dropped by,Shoulder Vendor,Helm,Shoulder
Anthelmir's Construct,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : Dealing damage with a fully-charged Heavy Attack throws an axe at the enemy, dealing 1572 Physical damage and reducing their Armor by 400 for 5 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage . The axe drops to the ground after traveling to your target for 5 seconds. Touching the axe reduces the cooldown of this set by 5 seconds.",Anthelmir's Construct in Oathsworn Pit,Urgarlag Chief-bane,,
Archdruid Devyric,"1 item : Adds 34-1487 Offensive Penetration 2 items : When you deal damage with a Heavy Attack , after 1.2 seconds deal 650 Shock damage to up to 6 enemies within a 7 by 5 meter line on your target, applying Major Vulnerability to them for 7 seconds, increasing the damage enemies take by 10%. This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage .",Archdruid Devyric in Earthen Root Enclave,Urgarlag Chief-bane,,
Balorgh,"1 item : Adds 3-129 Weapon and Spell Damage 2 items : When you use an Ultimate ability, you gain Weapon and Spell Damage equal to the amount of total Ultimate consumed, and Physical and Spell Penetration equal to 23 times the amount for 12 seconds.",Balorgh in March of Sacrifices,Urgarlag Chief-bane,,
Bar-Sakka,"1 item : Adds 28-1206 Maximum Health 2 items : While in combat, performing a Roll Dodge creates a 6 meter pool of blood. After a 1 second delay, enemies in the pool take 788 Magic Damage . Gain a Damage Shield for 6 seconds based on total damage done by the pool to enemies, up to 15000 damage. This effect can occur once every 10 seconds and the amount of damage done scales off your Max Health and cannot critically hit.",Talen-Lah and Bar-Sakka in Naj-Caldeesh,Urgarlag Chief-bane,,
Baron Zaudrus,"1 item : Adds 12-548 Maximum Stamina 1 item : Adds 12-548 Maximum Magicka 1 item : Adds 14-603 Maximum Health 2 items : Applying a status effect to an enemy grants you a stack of Zaudrus's [ sic ] Ambition for 10 seconds, up to 3 stacks max. When you gain 3 stacks, the stacks are removed and you gain 4 Ultimate . On gaining Ultimate , you cannot gain additional stacks of Zaudrus's [ sic ] Ambition for 1 second.",Baron Zaudrus in The Cauldron,Urgarlag Chief-bane,,
Black Gem Monstrosity,"1 item : Adds 34-1487 Offensive Penetration 2 items : While in combat, casting a Soul Magic ability consumes a Soul Gem and gives you a Black Gemsplitter for 10 seconds. This effect can occur once every 6 seconds. Dealing Light or Heavy Attack damage fires the Black Gemsplitter at your target, dealing 17.1% of your target's Max Health as Magic Damage , up to 17100 Magic Damage.",High Soulbinder Vykand in Black Gem Foundry,Urgarlag Chief-bane,,
The Blind,"1 item : Adds 15-657 Critical Chance 2 items : When your healing critically strikes, your target gains a Hydroglass Damage Shield that absorbs up to 62-2692 damage for 6 seconds. While the Damage Shield holds and for 3 seconds after it ends, the target gains Minor Force , increasing their Critical Damage done by 10%. This effect can occur once every 6 seconds per target.",The Blind in Bedlam Veil,Urgarlag Chief-bane,,
Bloodspawn,"1 item : Adds 3-129 Stamina Recovery 2 items : When you take damage, you have a 6% chance to generate 0-13 Ultimate and increase your Physical and Spell Resistance by 86-3731 for 5 seconds. This effect can occur once every 5 seconds.",Vorenor Winterbourne in Spindleclutch II,Maj al-Ragath,,
Chokethorn,"1 item : Adds 3-129 Magicka Recovery 2 items : When you use a heal ability with a cost, you have a 33% chance to summon a strangler sapling that heals you or an ally for 6986 Health over 6 seconds. This effect can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina .",Canonreeve Oraneth in Elden Hollow I,Maj al-Ragath,,
Domihaus,"1 item : Adds 25-1096 Maximum Stamina 1 item : Adds 25-1096 Maximum Magicka 2 items : When you deal damage, you create a 10 meter ring of molten earth around you for 10 seconds, which deals 90 Flame damage and 90 Physical damage every 1 second. Standing within the ring grants you 6-300 Weapon and Spell Damage . This effect can occur once every 15 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Domihaus the Bloody-Horned in Falkreath Hold,Urgarlag Chief-bane,,
Earthgore,"1 item : Adds 4% Healing Done 2 items : When you heal yourself or a group member that is under 50% Health , you conjure a pool of blood underneath them, immediately removing all harmful area effects, and healing the lowest Health group member in the area after 2 seconds for 1702 Health every 2 seconds over 8 seconds. This effect can occur once every 20 seconds and scales off the higher of your Max Magicka or Stamina .",Earthgore Amalgam in Bloodroot Forge,Urgarlag Chief-bane,,
