Stone,Aldmeri Dominion,Daggerfall Covenant,Ebonheart Pact,Cyrodiil,Effect,Value,Full Divines armor value
The Apprentice,Reaper's March,Bangkorai,The Rift,Cyrodiil,Increases Spell Damage,238,389
The Atronach,Greenshade,Rivenspire,Shadowfen,Cyrodiil,Increases Magicka Recovery,310,507
The Lady,Auridon,Glenumbra,Stonefalls,Cyrodiil,Increases Physical and Spell Resistance,2744,4489
The Lord,Grahtwood,Stormhaven,Deshaan,†,Increases Maximum Health,2225,3639
The Lover,Auridon,Glenumbra,Stonefalls,Cyrodiil,Increases Physical and Spell Penetration,2744,4489
The Mage,Grahtwood,Stormhaven,Deshaan,Cyrodiil,Increases Maximum Magicka,2023,3309
The Ritual,Malabal Tor,Alik'r Desert,Eastmarch,Cyrodiil,Increases Healing Done,8%,13%
The Serpent,Greenshade,Rivenspire,Shadowfen,Cyrodiil,Increases Stamina Recovery,310,507
The Shadow,Greenshade,Rivenspire,Shadowfen,Cyrodiil,Increases Critical Damage and Healing done,11%,17%
The Steed,Reaper's March,Bangkorai,The Rift,Cyrodiil,Increases Health Recovery and Movement Speed,238 / 10%,389 / 16%
The Thief,Malabal Tor,Alik'r Desert,Eastmarch,Cyrodiil,Increases Weapon and Spell Critical Strike ratings,1212,1982
The Tower,Grahtwood,Stormhaven,Deshaan,Cyrodiil,Increases Maximum Stamina,2023,3309
The Warrior,Malabal Tor,Alik'r Desert,Eastmarch,Cyrodiil,Increases Weapon Damage,238,389
