Normal,Fine,Superior,Epic,Legendary
Material,Level,Resistance
Iron/ Rawhide/ Jute,1,7,17,28,38,49
4,21,31,42,52,63
6,31,42,52,63,73
8,38,49,59,70,80
10,45,56,66,77,87
12,52,63,73,84,94
14,59,70,80,91,101
Steel/ Hide/ Linen,16,66,77,87,98,108
18,73,84,94,105,115
20,80,91,101,112,122
22,87,98,108,119,129
24,94,105,115,126,136
Orichalcum/ Leather/ Cotton,26,101,112,122,133,143
28,108,119,129,140,150
30,115,126,136,147,157
32,122,133,143,154,164
34,129,140,150,161,171
Dwarven/ Full-Leather/ Spidersilk,36,136,147,157,168,178
38,143,154,164,175,185
40,150,161,171,182,192
42,157,168,178,189,199
44,164,175,185,196,206
Ebony/ Fell Hide/ Ebonthread,46,171,182,192,203,213
48,178,189,199,210,220
50,185,196,206,217,227
Calcinium/ Brigandine/ Kresh,10,185,196,206,213,224
20,192,203,213,220,231
30,196,206,217,224,234
Galatite/ Ironhide/ Ironthread,40,203,213,224,231,241
50,206,217,227,234,245
60,213,224,234,241,252
Quicksilver/ Superb Hide/ Silverweave,70,217,227,238,245,255
80,224,234,245,252,262
Voidsteel/ Shadowhide/ Shadowspun,90,227,238,248,255,266
100,234,245,255,262,273
110,238,248,259,266,276
120,245,255,266,273,283
130,248,259,269,276,287
140,255,266,276,283,294
Rubedite/ Rubedo Leather/ Ancestor Silk,150,259,269,280,287,297
160,262,273,283,290,301
