Set Name,Bonuses,Location(s),Set Type
Order of Diagna,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 4% Healing Taken 5 items : Adds 5% Healing Taken 5 items : Gain Minor Vitality at all times, increasing your healing received and damage shield strength by 6%.",Alik'r Desert,Heavy Armor
Robes of the Withered Hand,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 28-1206 Maximum Health 5 items : When you are within 28 meters of an enemy you are in combat with, and the enemy dies, you heal for 38-1637 Health and gain 38-1637 Magicka . This effect can occur once every 3 seconds.",Alik'r Desert,Light Armor
Sword-Singer,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Adds 13-600 Weapon and Spell Damage to your Two Handed abilities.,Alik'r Desert,Medium Armor
Armor of the Veiled Heritance,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : When you interrupt an enemy, you gain 12-516 Weapon and Spell Damage for 15 seconds. Your Bash attacks deal 12-516 more damage.",Auridon,Heavy Armor
Queen's Elegance,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : When you use a Light Attack you reduce the Health , Magicka , or Stamina cost of your next active ability cast within 2 seconds by 10%. When you use a fully-charged Heavy Attack you gain Empower for 3 seconds, increasing the damage of your Heavy Attacks against monsters by 150%. Each of these effects can occur once every second.",Auridon,Light Armor
Twin Sisters,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 15-657 Critical Chance 5 items : When you Block , you cause all enemies within 5 meters of you to bleed for 1932 Bleed Damage over 10 seconds. This effect can occur once every 10 seconds and scales off the higher of your Weapon and Spell Damage .",Auridon,Medium Armor
Seventh Legion Brute,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Health Recovery 4 items : Adds 15-657 Critical Chance 5 items : When you cast an ability that grants Major or Minor Resolve while in combat, you gain 7-341 Weapon and Spell Damage and 7-341 Health Recovery for 15 seconds. This effect can occur every 15 seconds.",Bangkorai,Heavy Armor
Spriggan's Thorns,2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Adds 80-3460 Offensive Penetration,Bangkorai,Medium Armor
Vampire Lord,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Increases the bonuses and penalties of your Vampire Stage , depending on how far you've progressed. Stage 1/2/3/4 1%/2%/4%/6% additional Flame Damage Taken. 1%/2%/4%/6% increased Regular Ability cost. 5%/10%/15%/20% reduced Vampire Ability cost.",Bangkorai,Light Armor
Meridia's Blessed Armor,"2 items : Adds 34-1487 Armor 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 34-1487 Armor 5 items : When you Block , you gain Meridia's Blessed Armor for 5 seconds, causing you to dodge all incoming attacks. This effect can occur once every 25 seconds.",Coldharbour,Heavy Armor
