Set Name,Bonuses,Location(s),Set Type
Affliction,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : When you deal damage, you deal 330 Disease damage to the target. The enemy is then afflicted with the Diseased status effect , applying Minor Defile to the target, reducing their Healing Received and damage shield strength by 6% for 4 seconds. This effect can occur once every 4 seconds and scales off the higher of your Weapon and Spell Damage .",Vlastarus,Heavy Armor
Alessian Order,"2 items : Adds 34-1487 Armor 3 items : Adds 34-1487 Armor 4 items : Adds 28-1206 Maximum Health 5 items : Increase your Health Recovery by 2% of your sum total Physical Resistance and Spell Resistance , up to a maximum of 1320. Current Bonus Health Recovery : 0.",Vlastarus,Heavy Armor
Almalexia's Mercy,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : When you take damage, you heal you and your group members within 7 meters of you for 1412 Health over 3 seconds. This effect can occur once every 3 seconds and scales off the higher of your Max Magicka or Stamina .",Cropsford,Light Armor
The Arch-Mage,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 25-1096 Maximum Magicka 5 items : When you complete a fully-charged Heavy Attack , you gain an additional 11-506 Magicka Recovery for 10 seconds.",Cropsford,Light Armor
Bastion of the Heartland,2 items : Adds 28-1206 Maximum Health 3 items : Adds 4% Healing Taken 4 items : Reduces your damage taken from Players by 3%. 5 items : Reduces your damage taken from Siege Weapons and Player area of effect abilities by 10%.,Vlastarus,Heavy Armor
Beckoning Steel,2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 34-1487 Armor 5 items : Generate an aura that causes you and 11 group members within the aura to take 10% less damage from projectiles. This bonus persists through death. You can only be affected by one instance of Beckoning Steel.,Vlastarus,Heavy Armor
Blessing of the Potentates,2 items : Reduces your damage taken from Players by 3%. 3 items : Reduces the cost of your Ultimate abilities by 15%.,Vlastarus,Three Piece
Buffer of the Swift,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 34-1487 Armor 4 items : Adds 34-1487 Armor 5 items : Reduce damage taken from Players by 10%.,Cropsford,Light Armor
Crest of Cyrodiil,"2 items : Adds 9-424 Critical Resistance 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : When you Block , heal for 2871 Health . This effect can occur every 4 seconds and scales off your Max Health .",Vlastarus,Heavy Armor
Curse Eater,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 3-129 Magicka Recovery 5 items : When you heal yourself or an ally with a direct heal ability, remove up to 3 negative effects from them. If a negative effect was removed this way, your target restores 678 Magicka . This effect can occur every 8 seconds per target.",Cropsford,Light Armor
Deadly Strike,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increase the damage your damage over time and channeled attacks do by 15%.,Bruma,Medium Armor
Desert Rose,"2 items : Adds 34-1487 Armor 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Magicka 5 items : When you take damage, you have a 25% chance to restore 46-2012 Magicka . This effect can occur once every 4 seconds.",Cropsford,Light Armor
Eagle Eye,2 items : Adds 15-657 Critical Chance 3 items : Adds 38-1652 Critical Chance to your ranged direct damage abilities.,Bruma,Three Piece
