Set Name,Bonuses,Set Type
Black Rose,2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Magicka 5 items : Adds 4-176 Weapon and Spell Damage 5 items : Increases the Magicka and Stamina restored from the Constitution passive ability by 60%.,Heavy Armor
Galerion's Revenge,"2 items : Adds 15-657 Critical Chance 3 items : Adds 9-424 Critical Resistance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you deal damage with a Light or Heavy Attack , you put a Mark of Revenge on the enemy for 15 seconds. After stacking 5 Marks of Revenge on an enemy they detonate for 1462 Magic Damage . You can only apply a stack once every half second and the damage scales off the higher of your Weapon and Spell Damage .",Light Armor
Imperial Physique,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While you are in Imperial City , you tap into the power of the Tel Var Stones you are carrying, increasing your Health , Magicka , and Stamina by 24-1032. While you have a 4x Tel Var Stone multiplier this effect is increased by 600%.",All Weights
Meritorious Service,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you cast a Support ability while in combat, you increase the Physical and Spell Resistance of yourself and up to 5 group members within 10 meters by 82-3540 for 20 seconds.",Light Armor
Phoenix,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 9-424 Critical Resistance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you take damage while below 25% Health , gain a damage shield that absorbs 581-25000 damage for 10 seconds and deals 1006 Flame Damage to nearby enemies. This effect can occur once every 1 minute and the damage scales off the higher of your Weapon and Spell Damage .",Light Armor
Powerful Assault,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 3-129 Weapon and Spell Damage 5 items : When you cast an Assault ability while in combat, you and up to 5 group members within 12 meters gain 7-307 Weapon and Spell Damage for 15 seconds.",Medium Armor
Reactive Armor,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 28-1206 Maximum Health 5 items : After you are affected by a disabling effect, your damage taken is reduced by 33% for 5 seconds. This effect can occur every 20 seconds.",Heavy Armor
Shield Breaker,2 items : Adds 15-657 Critical Chance 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increases your damage done by 6%. This effect is doubled when attacking targets with a damage shield active.,Medium Armor
Thews of the Harbinger,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : When you Block , you deal 717 Physical Damage to the attacker. This effect scales off your Max Health .",Heavy Armor
Vicecanon of Venom,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : When you deal direct Critical Damage to an enemy while behind them, you inject a leeching poison that deals 1300 Poison Damage over 10 seconds to them and heals you for 100% of the damage done. This effect can occur once every 10 seconds per enemy and scales off the higher of your Weapon and Spell Damage .",Medium Armor
