Set,Weight,5 piece bonus
Caustic Arrow,Weapons,Increases your Weapon Damage by 7-330 against targets affected by your Poison Arrow .
Defiler,Medium,"When you deal Critical Damage, you summon a Hunger that spews poison to all enemies in front of it, dealing 1287 Poison Damage and stunning any enemy hit for 5 seconds. This effect can occur once every 5 seconds and scales off the higher of your Weapon or Spell Damage."
Eternal Hunt,Any,"When you use Roll Dodge, you leave behind a rune that detonates when enemies come close, dealing 1290 Poison damage and immobilizing them for 1.5 seconds. This effect scales off the higher of your Weapon or Spell Damage."
Euphotic Gatekeeper,Any,"When you use Roll Dodge, create a Hadolid Husk after you roll. While within 5 meters of the Hadolid Husk, it will absorb all direct damage attacks against you. After 1 second, the Hadolid Husk explodes, dealing 1155 Poison damage to all enemies within 5 meters. This effect can occur once every 20 seconds and scales off the higher of your Weapon and Spell Damage."
Hand of Mephala,Heavy,"When you take damage, you encase the ground beneath you in webs for 5 seconds, reducing the Movement Speed of enemies within a 4 meter radius by 33% and applying Minor Breach to them, reducing their Physical and Spell Resistance by 2974. After 5 seconds the webs burst into venom, dealing 0 Poison Damage . This effect can occur once every 5 seconds and scales off the higher of your Physical or Spell Resistance."
Leeching Plate,Heavy,"When you take damage, you summon a cloud of leeching poison under the assailant. The cloud deals 427 Poison damage every 1 second for 5 seconds and heals you for 100% of the damage caused. This effect can occur once every 5 seconds and scales off your Max Health."
Night Terror,Medium,"When you take melee damage, you deal 371 Poison Damage to the attacker. This effect can occur once every 1 second and scales off the higher of your Weapon or Spell Damage."
Noxious Boulder,Medium,"Dealing damage with a fully-charged Heavy Attack creates a 3 meter poison boulder. After 1.2 seconds the boulder rolls forward until it hits an enemy, dealing 1049 Poison damage in a 6 meter area and creating a 6 meter pool of poison for 5 seconds, dealing 730 Poison damage and applying the Poisoned status effect each second. This effect can occur once every 20 seconds and scales off the higher of your Weapon and Spell Damage ."
Plague Slinger,Medium,"When you take damage, summon a Skeever corpse which will launch five poison balls over 5 seconds that each deal 959 Poison Damage to the nearest enemy within 10 meters. This effect can occur once every 8 seconds and scales off the higher of your Weapon or Spell Damage."
Poisonous Serpent,Medium,"When you deal damage with a Light or Heavy Attack against an enemy who has a Poison Damage ability on them, you deal an additional 742 Poison Damage . This effect can occur once every 2 seconds and scales off the higher of your Weapon or Spell Damage."
Scavenging Demise,Medium,"When you deal Critical Poison Damage to an enemy, summon the Scavenging Maw which attacks your enemy after 2 seconds. The Scavenging Maw deals 3363 Poison Damage and inflicts Minor Vulnerability for 15 seconds, increasing their damage taken by 5%. This effect can occur every 10 seconds and scales off the higher of your Weapon or Spell Damage."
Sheer Venom,Medium,"When you deal damage with an Execute ability you infect the enemy, dealing 1236 Poison damage over 6 seconds and dealing up to 100% more damage to enemies under 100% Health. This effect can occur once every 6 seconds per target and scales off the higher of your Weapon or Spell Damage."
Spawn of Mephala,Any,"When you deal damage with a fully-charged Heavy Attack, you create a web for 10 seconds that deals 246 Poison damage every 1 second to all enemies within 4 meters and reduces their Movement Speed by 50%. This effect can occur once every 10 seconds and scales off the higher of your Weapon or Spell Damage."
Swamp Raider,Medium,Adds 13-600 Weapon Damage to your Poison and Disease Damage abilities.
Syvarra's Scales,Any,"When you deal damage, you cause a burst of lamia poison that deals 194 Poison damage in a 5 meter radius and an additional 1944 Poison damage over 6 seconds to all enemies hit. This effect can occur once every 7 seconds and scales off the higher of your Weapon or Spell Damage."
The Morag Tong,Medium,"When you deal direct damage, you cause the enemy to take 10% more damage from Poison and Disease attacks for 5 seconds."
Venomous Smite,Medium,"Dealing Critical Damage inflicts Hunter's Venom on your enemy for 10 seconds, dealing 773 Poison Damage to your target and enemies within 6 meters of them every 2 seconds. This effect can occur once every 15 seconds and scales off the higher of your Weapon or Spell Damage."
Vicecanon of Venom,Any,"When you deal direct Critical Damage to an enemy while behind them, you inject a leeching poison that deals 1690 Poison Damage over 10 seconds to them and heals you for 100% of the damage done. This effect can occur once every 10 seconds per enemy and scales off the higher of your Weapon or Spell Damage."
Viper's Sting,Medium,"When you deal damage with a Martial melee attack, you deal an additional 1205 Poison Damage over 4 seconds. This effect can occur once every 4 seconds and scales off the higher of your Weapon or Spell Damage."
Virulent Shot,Weapons,Scatter Shot applies a damage over time effect that deals 65% of your initial attack as Poison Damage every 2 seconds for 4 seconds. The duration increases if you are farther away from your target to a maximum of 12 seconds.
Widowmaker,Medium,"When your alchemical poison fires, you drop a poisonous spore in front of you that bursts after 1 second, dealing 3714 Poison Damage over 10 seconds to all enemies within 5 meters. This effect scales off the higher of your Weapon or Spell Damage."
Witch-Knight's Defiance,Medium,Increases your Weapon Damage by 8-369 against enemies inflicted with a Poison Damage effect.
