Potion,Level,Health,Duration
,Sip of Health,1,262,3.3
2,1107,3.8
3,4.0
4,4.3
5,4.5
6,4.8
,Tincture of Health,7,5.1
8,5.3
9,5.6
10,1952,5.8
11,6.1
,Serum of Health,12,6.4
13,6.6
14,6.9
15,7.1
,Dram of Health,16,7.4
17,7.6
18,7.9
19,8.2
20,2797,8.4
,Effusion of Health,21,8.7
22,8.9
23,9.2
24,9.5
25,9.7
,Potion of Health,26,10.0
27,10.2
28,10.5
29,10.7
30,3642,11.0
,Draught of Health,31,11.3
32,11.5
33,11.8
34,12.0
35,12.3
,Solution of Health,36,12.5
37,12.8
38,13.1
39,13.3
40,4487,13.6
,Philter of Health,41,13.8
42,14.1
43,14.4
44,14.6
45,14.9
,Elixir of Health,46,15.1
47,15.4
48,15.6
49,15.9
50,4494,16.2
,Elixir of Health,50 10,16.7
50 20,5078,17.2
50 30,17.4
,Panacea of Health,50 40,5163,18.0
50 50,5585,18.2
50 60,5670,18.7
50 70,19.0
50 80,5754,19.5
50 90,19.8
,Distillate of Health,50 100,6261,20.3
50 110,20.5
50 120,6346,21.1
50 130,21.3
50 140,6430,21.8
,Essence of Health,50 150,6684,22.1
50 160,22.4
