,Potion,Effects,Price
,Crown Health Potion,Restore 7526 Health immediately. Grants Major Fortitude which increases your Health Regeneration by 30% for 36.3 seconds. These effects are scaled based on your level. (45 second cooldown),00200 Unavailable 200 for 20
,Crown Magicka Potion,Restore 6796 Magicka immediately. Grants Major Intellect which increases your Magicka Regeneration by 30% for 36.3 seconds. These effects are scaled based on your level. (45 second cooldown),00200 Unavailable 200 for 20
,Crown Stamina Potion,Restore 6796 Stamina immediately. Grants Major Endurance which increases your Stamina Regeneration by 30% for 36.3 seconds. These effects are scaled based on your level. (45 second cooldown),00200 Unavailable 200 for 20
""
,Gold Coast Survivor Elixir,"Restore 8369 Health immediately. Grants Major Fortitude which increases your Health Recovery by 30% for 36.3 seconds. Also grants Invisibility and Unstoppable for 8 seconds, granting you immunity to knockback and disabling effects. These effects are scaled based on your level. (45 second cooldown)",00003 3 for 5
,Gold Coast Spellcaster Elixir,"Restore 7582 Magicka immediately. Grants Major Intellect which increases your Magicka Recovery by 30% for 36.3 seconds. Also grants Major Sorcery and Major Prophecy , increasing your Spell Damage by 20% and Spell Critical by 2629 for 36.3 seconds These effects are scaled based on your level. (45 second cooldown)",00003 3 for 5
,Gold Coast Warrior Elixir,"Restore 7582 Stamina immediately. Grants Major Endurance which increases your Stamina Recovery by 30% for 36.3 seconds. Also grants Major Brutality and Major Savagery , increasing your Weapon Damage by 20% and Weapon Critical by 2629 for 36.3 seconds These effects are scaled based on your level. (45 second cooldown)",00003 3 for 5
""
,Crown Tri-Restoration Potion,"Restore 8369 Health , 7582 Magicka , and 7582 Stamina immediately. Grants Major Fortitude , Major Intellect , and Major Endurance which increase your Health Recovery , Magicka Recovery , and Stamina Recovery by 30% for 36.3 seconds. These effects are scaled based on your level. (45 second cooldown)",00200 200 for 10 0000050 50 for 20
,Gold Coast Swift Survivor Elixir,"Restore 8369 Health immediately. Grants Major Fortitude and Major Expedition , increasing your Health Recovery by 30% for 36.3 seconds, and Movement Speed by 30% for 10.5 seconds. Also grants Unstoppable for 8 seconds, granting you immunity to knockback and disabling effects. These effects are scaled based on your level. (45 second cooldown)",00003 3 for 5
,Crown Invisibility Potion,Disappear from sight for 11.5 seconds. (45 second cooldown),00003 3 for 5
