Achievement,Points,Description,Reward
,Master Provisioner,50,Attain a Provisioning rank of 50.,"Provisioner Brown Provisioner's Sign ( page ) ( 00005000 5,000 )"
Recipes
​,Recipe Card,5,Learn 10 Provisioning Recipes.,Battaglir Green
​,Recipe Book,10,Learn 50 Provisioning Recipes.,Shein Violet
​,Recipe Compendium,15,Learn 100 Provisioning Recipes.,"Recipe Reaper Red Chef's Cleaver ( page ) ( 00002500 2,500 )"
Cooking
,Master Chef,50,Make a Renowned and an Epic Food or Drink.,Brewer's Ale Brown
​,Renowned Provisioner,10,Make a Renowned Food or Drink.,
​,Epic Provisioner,15,Make an Epic Food or Drink.,
Wax
,Wax Harvester,5,Harvest your first unit of Decorative Wax .,
,Expert Wax Harvester,10,Harvest 25 units of Decorative Wax .,
,Master Wax Harvester,15,Harvest 100 units of Decorative Wax .,
Furnisher
,Novice Provisioning Furnisher,5,Learn your first Provisioning Design .,
,Expert Provisioning Furnisher,15,Learn 25 Provisioning Designs .,
,Master Provisioning Furnisher,50,Learn 100 Provisioning Designs .,
