Grimoire,Price,Skill Line,Requirement
Elemental Explosion,"First: 50,000; Later:10,000",Destruction Staff,Destruction Staff Master
Mender's Bond,"First: 50,000; Later:10,000",Restoration Staff,Restoration Staff Master
Shield Throw,"First: 50,000; Later:10,000",One Hand and Shield,One Hand and Shield Master
Smash,"First: 50,000; Later:10,000",Two Handed,Two-Handed Master
Traveling Knife,"First: 50,000; Later:10,000",Dual Wield,Dual Wield Master
Vault,"First: 50,000; Later:10,000",Bow,Bow Master
Wield Soul,free,Soul Magic,"Earned by completing The Second Era of Scribing, the first quest in the Scribing quest line."
Soul Burst,"First: free; Later:10,000†",Soul Magic,"Earned by completing The Wing of the Crow, the final quest in the Scribing quest line."
Torchbearer,"First: 50,000; Later:10,000",Fighters Guild,Fighters Guild Skill Master
Ulfsild's Contingency,"First: 50,000; Later:10,000",Mages Guild,Mages Guild Skill Master
Banner Bearer,"First: 50,000; Later:10,000",Support,Alliance War Skill Apprentice
Trample,"First: 50,000; Later:10,000",Assault,Alliance War Skill Master
