Script,Price,Grimoires,Requirements
Berserk,"First: 20,000; Later: 4,000","Smash, Traveling Knife, Banner Bearer",Sigil of the Luminary Netch
Breach,free,"Mender's Bond, Smash, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency",Earned for free during The Second Era of Scribing quest.
Brittle,"First: 20,000; Later: 4,000","Elemental Explosion, Mender's Bond",Sigil of the Luminary Netch
Brutality and Sorcery,"First: 20,000; Later: 4,000","Elemental Explosion, Wield Soul, Banner Bearer",Sigil of the Luminary Netch
Courage,"First: 20,000; Later: 4,000","Mender's Bond, Soul Burst, Banner Bearer",Sigil of the Luminary Netch
Cowardice,"First: 20,000; Later: 4,000","Elemental Explosion, Shield Throw, Wield Soul, Torchbearer, Trample",Sigil of the Luminary Netch
Defile,"First: 20,000; Later: 4,000","Elemental Explosion, Wield Soul, Trample",Sigil of the Luminary Netch
Empower,"First: 20,000; Later: 4,000","Mender's Bond, Wield Soul",Sigil of the Luminary Netch
Enervation,"First: 20,000; Later: 4,000","Elemental Explosion, Shield Throw, Ulfsild's Contingency",Sigil of the Luminary Netch
Evasion,"First: 20,000; Later: 4,000","Shield Throw, Vault, Torchbearer",Sigil of the Luminary Netch
Expedition,"First: 20,000; Later: 4,000","Smash, Traveling Knife, Vault, Soul Burst, Trample",Sigil of the Luminary Netch
Force,"First: 20,000; Later: 4,000","Smash, Vault, Ulfsild's Contingency",Sigil of the Luminary Netch
Heroism,"First: 20,000; Later: 4,000","Mender's Bond, Torchbearer, Banner Bearer, Trample",Sigil of the Luminary Netch
Intellect and Endurance,"First: 20,000; Later: 4,000","Mender's Bond, Wield Soul, Soul Burst, Ulfsild's Contingency, Banner Bearer",Sigil of the Luminary Netch
Interrupt,"First: 20,000; Later: 4,000","Shield Throw, Smash, Soul Burst",Sigil of the Luminary Netch
Lifesteal,"First: 20,000; Later: 4,000","Elemental Explosion, Traveling Knife, Vault",Sigil of the Luminary Netch
Magickasteal,"First: 20,000; Later: 4,000","Elemental Explosion, Soul Burst, Ulfsild's Contingency",Sigil of the Luminary Netch
Maim,free,"Mender's Bond, Shield Throw, Smash, Traveling Knife, Vault, Soul Burst",Found at the Riften Mages Guild
Mangle,"First: 20,000; Later: 4,000","Smash, Torchbearer, Trample",Sigil of the Luminary Netch
Off Balance,First: free; Later: 10,"Elemental Explosion, Shield Throw, Traveling Knife, Vault, Trample",Reward for The Wing of the Indrik quest.
Protection,"First: 20,000; Later: 4,000","Mender's Bond, Ulfsild's Contingency, Banner Bearer",Sigil of the Luminary Netch
Resolve,First: free; Later: 10,"Shield Throw, Wield Soul, Soul Burst, Torchbearer, Ulfsild's Contingency, Banner Bearer",Reward for The Wing of the Indrik quest.
Savagery and Prophecy,"First: 20,000; Later: 4,000","Traveling Knife, Vault, Banner Bearer, Trample",Sigil of the Luminary Netch
Uncertainty,"First: 20,000; Later: 4,000","Torchbearer, Traveling Knife",Sigil of the Luminary Netch
Vitality,free,"Mender's Bond, Shield Throw, Smash, Wield Soul, Torchbearer",Found outside the Rawl'kha Mages Guild
Vulnerability,free,"Traveling Knife, Vault, Ulfsild's Contingency, Trample",Found at the Evermore Mages Guild
