Set,Pieces,Effect
Archer's Mind,5/5,Increases your Critical Damage and Healing by 8%. Increases your Critical Damage and Healing by an additional 16% when you are Sneaking or Invisible.
Night Mother's Embrace,5/5,Reduce the range you can be detected while hidden by 2 meters. Reduces Sneak cost by 10%.
Night Terror (set),3/5,Decrease detection radius by 2 meters. Reduces Sneak cost by 10-27%.
Night's Silence,5/5,Ignore Movement Speed penalty while Sneaking.
The Shadow Queen's Cowl,1/1,"While crouched, you can see Witnesses and Guards through walls. Successfully pickpocketing a Witness or Guard applies Distracted to them for 10 seconds, stunning them and decreasing their Stealth detection radius by 30 meters for the duration."
Shadow Dancer's Raiment,5/5,"After leaving Sneak or invisibility , you dodge all incoming attacks within the next 1 second. This effect can occur once every 8 seconds."
Shadow Walker (set),5/5,Restore 25-2150 Health and Stamina every second while hidden and not moving.
Stormweaver's Cavort,1/1,Sneak now consume Magicka instead of Stamina . You reduce your Magicka Recovery to 0 while Sneaking. You no longer reduce your Stamina Recovery to 0 while Sneaking.
Stygian,5/5,"When you leave Sneak or invisibility while in combat, your Weapon and Spell Damage is increased by 8-369 for 15 seconds."
Vesture of Darloc Brae,4/5,Reduce the range you can be detected while hidden by 2 meters. Reduces Sneak cost by 10%.
