Trait,Duration (no ESO Plus),,Duration (w/ESO Plus)
Base,Rank 1,Rank 2,Rank 3,Rank 4,Base,Rank 1,Rank 2,Rank 3,Rank 4
1 st,2h 00m,1h 54m,1h 48m,1h 36m,1h 30m,1h 48m,1h 42m 36s,1h 37m 12s,1h 26m 24s,1h 21m
2 nd,4h 00m,3h 48m,3h 36m,3h 12m,3h 00m,3h 36m,3h 25m 12s,3h 14m 24s,2h 52m 48s,2h 42m
3 rd,8h 00m,7h 36m,7h 12m,6h 24m,6h 00m,7h 12m,6h 50m 24s,6h 28m 48s,5h 45m 36s,5h 24m
4 th,16h 00m,15h 12m,14h 24m,12h 48m,12h 00m,14h 24m,13h 40m 48s,12h 57m 36s,11h 31m 12s,10h 48m
5 th,1d 08h 00m,1d 06h 24m,1d 04h 24m,1d 01h 36m,1d 00h 00m,1d 04h 48m,1d 03h 21m 36s,1d 01h 55m 12s,23h 02m 24s,21h 36m
6 th,2d 16h 00m,2d 12h 48m,2d 09h 36m,2d 03h 12m,2d 00h 00m,2d 09h 36m,2d 06h 43m 12s,2d 03h 50m 24s,1d 22h 04m 48s,1d 19h 12m
7 th,5d 08h 00m,5d 01h 36m,4d 19h 12m,4d 06h 24m,4d 00h 00m,4d 19h 12m,4d 13h 26m 24s,4d 07h 40m 48s,3d 20h 09m 36s,3d 14h 24m
8 th,10d 16h 00m,10d 03h 12m,9d 14h 24m,8d 12h 48m,8d 00h 00m,9d 14h 24m,9d 02h 52m 48s,8d 15h 21m 36s,7d 16h 19m 12s,7d 04h 48m
9 th,21d 08h 00m,20d 06h 24m,19d 04h 48m,17d 01h 36m,10d 00h 00m,19d 04h 48m,18d 05h 45m 36s,17d 06h 43m 12s,15d 08h 38m 24s,9d 00h 00m
Slots,1,2,2,3,3,1,2,2,3,3
Sum,42d 14h 00m,40d 10h 54m,38d 7h 48m,34d 1h 36m,25d 22h 30m,38d 7h 48m,36d 9h 48m 36s,34d 11h 49m 12s,30d 15h 50m 24s,23d 8h 15m
