Class-Exclusive Tree Skill Cost Arcanist Herald of the Tome The Unblinking Eye 175 Ultimate Soldier of Apocrypha Gibbering Shield 200 Ultimate Curative Runeforms Vitalizing Glyphic 200 Ultimate Dragonknight Ardent Flame Dragonknight Standard 200 Ultimate Draconic Power Dragon Leap 125 Ultimate Earthen Heart Magma Armor 200 Ultimate Necromancer Bone Tyrant Bone Goliath Transformation 300 Ultimate Grave Lord Frozen Colossus 225 Ultimate Living Death Reanimate 335 Ultimate Nightblade Assassination Death Stroke 70 Ultimate Shadow Consuming Darkness 200 Ultimate Siphoning Soul Shred 150 Ultimate Sorcerer Daedric Summoning Summon Storm Atronach 200 Ultimate Dark Magic Negate Magic 225 Ultimate Storm Calling Overload 75 Ultimate † Templar Aedric Spear Radial Sweep 75 Ultimate Dawn's Wrath Nova 250 Ultimate Restoring Light Rite of Passage 125 Ultimate Warden Animal Companions Feral Guardian 75 Ultimate † Green Balance Secluded Grove 75 Ultimate Winter's Embrace Sleet Storm 200 Ultimate,Class-Exclusive,Tree,Skill,Cost,Arcanist,Herald of the Tome,The Unblinking Eye,175 Ultimate,Soldier of Apocrypha,Gibbering Shield,200 Ultimate,Curative Runeforms,Vitalizing Glyphic,200 Ultimate,Dragonknight,Ardent Flame,Dragonknight Standard,200 Ultimate,Draconic Power,Dragon Leap,125 Ultimate,Earthen Heart,Magma Armor,200 Ultimate,Necromancer,Bone Tyrant,Bone Goliath Transformation,300 Ultimate,Grave Lord,Frozen Colossus,225 Ultimate,Living Death,Reanimate,335 Ultimate,Nightblade,Assassination,Death Stroke,70 Ultimate,Shadow,Consuming Darkness,200 Ultimate,Siphoning,Soul Shred,150 Ultimate,Sorcerer,Daedric Summoning,Summon Storm Atronach,200 Ultimate,Dark Magic,Negate Magic,225 Ultimate,Storm Calling,Overload,75 Ultimate †,Templar,Aedric Spear,Radial Sweep,75 Ultimate,Dawn's Wrath,Nova,250 Ultimate,Restoring Light,Rite of Passage,125 Ultimate,Warden,Animal Companions,Feral Guardian,75 Ultimate †,Green Balance,Secluded Grove,75 Ultimate,Winter's Embrace,Sleet Storm,200 Ultimate,All Characters Tree Skill Cost Weapon Skills Bow Rapid Fire 175 Ultimate Destruction Staff Elemental Storm 250 Ultimate Dual Wield Lacerate 150 Ultimate One Hand and Shield Shield Wall 100 Ultimate Restoration Staff Panacea 100 Ultimate Two Handed Berserker Strike 150 Ultimate Guild Fighters Guild Dawnbreaker 125 Ultimate Mages Guild Meteor 200 Ultimate Psijic Order Undo 165 Ultimate Other Assault War Horn 250 Ultimate Support Barrier 200 Ultimate Vampire Blood Scion 320-350 Ultimate †† Werewolf Werewolf Transformation 400-300 Ultimate Soul Magic Soul Strike 175 Ultimate,All Characters,Tree,Skill,Cost,Weapon Skills,Bow,Rapid Fire,175 Ultimate,Destruction Staff,Elemental Storm,250 Ultimate,Dual Wield,Lacerate,150 Ultimate,One Hand and Shield,Shield Wall,100 Ultimate,Restoration Staff,Panacea,100 Ultimate,Two Handed,Berserker Strike,150 Ultimate,Guild,Fighters Guild,Dawnbreaker,125 Ultimate,Mages Guild,Meteor,200 Ultimate,Psijic Order,Undo,165 Ultimate,Other,Assault,War Horn,250 Ultimate,Support,Barrier,200 Ultimate,Vampire,Blood Scion,320-350 Ultimate ††,Werewolf,Werewolf Transformation,400-300 Ultimate,Soul Magic,Soul Strike,175 Ultimate
Class-Exclusive
Tree,Skill,Cost
Arcanist
Herald of the Tome,The Unblinking Eye,175 Ultimate
Soldier of Apocrypha,Gibbering Shield,200 Ultimate
Curative Runeforms,Vitalizing Glyphic,200 Ultimate
Dragonknight
Ardent Flame,Dragonknight Standard,200 Ultimate
Draconic Power,Dragon Leap,125 Ultimate
Earthen Heart,Magma Armor,200 Ultimate
Necromancer
Bone Tyrant,Bone Goliath Transformation,300 Ultimate
Grave Lord,Frozen Colossus,225 Ultimate
Living Death,Reanimate,335 Ultimate
Nightblade
Assassination,Death Stroke,70 Ultimate
Shadow,Consuming Darkness,200 Ultimate
Siphoning,Soul Shred,150 Ultimate
Sorcerer
Daedric Summoning,Summon Storm Atronach,200 Ultimate
Dark Magic,Negate Magic,225 Ultimate
Storm Calling,Overload,75 Ultimate †
Templar
Aedric Spear,Radial Sweep,75 Ultimate
Dawn's Wrath,Nova,250 Ultimate
Restoring Light,Rite of Passage,125 Ultimate
Warden
Animal Companions,Feral Guardian,75 Ultimate †
Green Balance,Secluded Grove,75 Ultimate
Winter's Embrace,Sleet Storm,200 Ultimate
All Characters
Tree,Skill,Cost
Weapon Skills
Bow,Rapid Fire,175 Ultimate
Destruction Staff,Elemental Storm,250 Ultimate
Dual Wield,Lacerate,150 Ultimate
One Hand and Shield,Shield Wall,100 Ultimate
Restoration Staff,Panacea,100 Ultimate
Two Handed,Berserker Strike,150 Ultimate
Guild
Fighters Guild,Dawnbreaker,125 Ultimate
Mages Guild,Meteor,200 Ultimate
Psijic Order,Undo,165 Ultimate
Other
Assault,War Horn,250 Ultimate
Support,Barrier,200 Ultimate
Vampire,Blood Scion,320-350 Ultimate ††
Werewolf,Werewolf Transformation,400-300 Ultimate
Soul Magic,Soul Strike,175 Ultimate
