Raw Material,Refined Into,Used To Make...,Levels
Rough Maple,Sanded Maple,"Maple Bow, Maple Staves, Maple Shield",1 - 14
Rough Oak,Sanded Oak,"Oak Bow, Oak Staves, Oak Shield",16 - 24
Rough Beech,Sanded Beech,"Beech Bow, Beech Staves, Beech Shield",26 - 34
Rough Hickory,Sanded Hickory,"Hickory Bow, Hickory Staves, Hickory Shield",36 - 44
Rough Yew,Sanded Yew,"Yew Bow, Yew Staves, Yew Shield",46 - 50
Rough Birch,Sanded Birch,"Birch Bow, Birch Staves, Birch Shield",10 - 30
Rough Ash,Sanded Ash,"Ash Bow, Ash Staves, Ash Shield",40 - 60
Rough Mahogany,Sanded Mahogany,"Mahogany Bow, Mahogany Staves, Mahogany Shield",70 - 80
Rough Nightwood,Sanded Nightwood,"Nightwood Bow, Nightwood Staves, Nightwood Shield",90 - 140
Rough Ruby Ash,Sanded Ruby Ash,"Ruby Ash Bow, Ruby Ash Staves, Ruby Ash Shield",150 - 160
