Achievement,Points,Description,Reward
,Master Woodworker,50,Attain a Woodworking rank of 50.,"Woodworker Yellow Woodworker's Sign ( page ) ( 00005000 5,000 )"
​,Legendary Woodworker,50,Improve Woodworking items to all available Qualities.,Mastic Yellow
Heartwood
,Heartwood Harvester,5,Harvest your first unit of Heartwood .,
,Expert Heartwood Harvester,10,Harvest 25 units of Heartwood .,
,Master Heartwood Harvester,15,Harvest 100 units of Heartwood .,
Furnisher
,Novice Woodworking Furnisher,5,Learn your first Woodworking Blueprint .,
,Expert Woodworking Furnisher,15,Learn 50 Woodworking Blueprints .,
,Master Woodworking Furnisher,50,Learn 200 Woodworking Blueprints .,
Surveys
​,Apprentice Woodcutter,5,Harvest the resources from one Woodworking survey report.,
​,Skillful Logger,10,Harvest the resources from 10 Woodworking survey reports.,
​,Veteran Lumberjack,15,Harvest the resources from 15 Woodworking survey reports.,
