csv,page,source,rows,cols,header
uesp_Online_Alchemy_t00.csv,Online:Alchemy,uesp,39,8,1 | Solvent Proficiency I
uesp_Online_Alchemy_t01.csv,Online:Alchemy,uesp,21,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Alchemy_t02.csv,Online:Alchemy,uesp,7,3,Order | Progression | Skill points required
uesp_Online_Alchemy_t03.csv,Online:Alchemy,uesp,155,3,Primary Effect | Side Effect | Reagents
uesp_Online_Alchemy_t04.csv,Online:Alchemy,uesp,188,6,Breach | Ravage Health | Ravage Magicka | Emetic Russula | Beetle Scuttle | Violet Coprinus
uesp_Online_Alchemy_t05.csv,Online:Alchemy,uesp,120,6,Cowardice | Restore Health | Increase Spell Resist | Blue Entoloma | White Cap | Bugloss
uesp_Online_Alchemy_t06.csv,Online:Alchemy,uesp,26,4,Combination | Reagent 1 | Reagent 2 | Reagent 3
uesp_Online_Alchemy_t07.csv,Online:Alchemy,uesp,22,4,Combination | Reagent 1 | Reagent 2 | Reagent 3
uesp_Online_Alchemy_t08.csv,Online:Alchemy,uesp,9,4,Combination | Reagent 1 | Reagent 2 | Reagent 3
uesp_Online_Alchemy_t09.csv,Online:Alchemy,uesp,51,4,Achievement | Points | Description | Reward
uesp_Online_Ancestor_Silk_t00.csv,Online:Ancestor Silk,uesp,9,2,Used for | Clothing ( Tailoring Rank 10)
uesp_Online_Ancestor_Silk_t01.csv,Online:Ancestor Silk,uesp,2,9,Armor Level | Ancestor Silk Robe/Jerkin | Ancestor Silk Shoes | Ancestor Silk Gloves | Ancestor Silk Hat | Ancestor Silk Breeches | Ancestor Silk Epaulets | Ancestor Silk Sash | Total
uesp_Online_Arcanist_t00.csv,Online:Arcanist,uesp,5,4,Build | Role | Description | Primary Stat
uesp_Online_Arena_Sets_t00.csv,Online:Arena Sets,uesp,4,3,Set Name | Bonuses | Set Type
uesp_Online_Arena_Sets_t01.csv,Online:Arena Sets,uesp,6,3,Set Name | Bonuses | Set Type
uesp_Online_Arena_Sets_t02.csv,Online:Arena Sets,uesp,3,3,Set Name | Bonuses | Set Type
uesp_Online_Armor_t00.csv,Online:Armor,uesp,136,3,Style | Material | Motif
uesp_Online_Armor_t01.csv,Online:Armor,uesp,10,5,Normal | Fine | Superior | Epic | Legendary
uesp_Online_Assault_t00.csv,Online:Assault,uesp,17,8,2 | Vigor
uesp_Online_Assault_t01.csv,Online:Assault,uesp,5,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Assault_t02.csv,Online:Assault,uesp,20,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Assault_t03.csv,Online:Assault,uesp,6,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Battlegrounds_t00.csv,Online:Battlegrounds,uesp,1,3,Fire Drakes | Pit Daemons | Storm Lords (only during 3 teams events)
uesp_Online_Battlegrounds_t01.csv,Online:Battlegrounds,uesp,7,3,Battlemaster Rivyn's Reward Box | Battlemaster Rivyn's Competitive Reward Box | Weekly Leaderboard Rewards
uesp_Online_Battlegrounds_t02.csv,Online:Battlegrounds,uesp,3,2,A Champion's Prize | Renown and Rewards
uesp_Online_Blacksmithing_t00.csv,Online:Blacksmithing,uesp,41,8,1 | Metalworking I
uesp_Online_Blacksmithing_t01.csv,Online:Blacksmithing,uesp,26,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Blacksmithing_t02.csv,Online:Blacksmithing,uesp,7,3,Order | Progression | Skill points required
uesp_Online_Blacksmithing_t03.csv,Online:Blacksmithing,uesp,10,4,Raw Material | Refined Into | Used To Make... | Level
uesp_Online_Blacksmithing_t04.csv,Online:Blacksmithing,uesp,14,4,Achievement | Points | Description | Reward
uesp_Online_Bleed_Damage_t00.csv,Online:Bleed Damage,uesp,66,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Bleed_Damage_t01.csv,Online:Bleed Damage,uesp,14,3,Set | Weight | 5 piece bonus
uesp_Online_Bow_t00.csv,Online:Bow,uesp,29,8,2 | Snipe
uesp_Online_Bow_t01.csv,Online:Bow,uesp,5,9,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Bow_t02.csv,Online:Bow,uesp,25,8,Name | Line Rank | Cast Time | Target | Range | Radius | Duration | Cost
uesp_Online_Bow_t03.csv,Online:Bow,uesp,10,3,Ability Name | Weapon set name | Description
uesp_Online_Bow_t04.csv,Online:Bow,uesp,10,4,Name | Line Rank | Skill Rank | Description
uesp_Online_Buffs_t00.csv,Online:Buffs,uesp,121,5,Buff Name | Type | Description | Sources | Icon
uesp_Online_Buffs_t01.csv,Online:Buffs,uesp,64,5,Debuff Name | Type | Description | Sources | Icon
uesp_Online_Buffs_t02.csv,Online:Buffs,uesp,12,4,Buff Name | Description | Sources | Icon
uesp_Online_Buffs_t03.csv,Online:Buffs,uesp,5,4,Buff Name | Description | Sources | Icon
uesp_Online_Campaigns_t00.csv,Online:Campaigns,uesp,4,7,Campaign | Ruleset | Duration | Keeps | Outposts | Resources | Scrolls
uesp_Online_Campaigns_t01.csv,Online:Campaigns,uesp,4,3,Campaign | Ruleset | Districts
uesp_Online_Campaigns_t02.csv,Online:Campaigns,uesp,7,4,1st Place Alliance | 2100 gold | 3000 gold + 1 Superior item | 3900 gold + 1 Epic item
uesp_Online_Campaigns_t03.csv,Online:Campaigns,uesp,7,4,1st Place Alliance | 10500 gold | 15000 gold + 5 Superior items | 19500 gold + 5 Epic items
uesp_Online_Campaigns_t04.csv,Online:Campaigns,uesp,2,3,Leaderboard Position | 7-Day Campaigns | 30-Day Campaigns
uesp_Online_Campaigns_t05.csv,Online:Campaigns,uesp,1,2,Bonus | Effect
uesp_Online_Campaigns_t06.csv,Online:Campaigns,uesp,13,2,Bonus | Effect
uesp_Online_Campaigns_t07.csv,Online:Campaigns,uesp,4,2,Bonus | Effect
uesp_Online_Campaigns_t08.csv,Online:Campaigns,uesp,6,2,Bonus | Effect
uesp_Online_Campaigns_t09.csv,Online:Campaigns,uesp,16,5,Stats | Soldier | Vanguard | Battle Medic | Scout
uesp_Online_Champion_t00.csv,Online:Champion,uesp,4,4,Base Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t01.csv,Online:Champion,uesp,2,4,Base Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t02.csv,Online:Champion,uesp,15,4,Passive Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t03.csv,Online:Champion,uesp,8,4,Active Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t04.csv,Online:Champion,uesp,3,4,Base Perks | Effect | Cost per Stage | Stages
uesp_Online_Champion_t05.csv,Online:Champion,uesp,3,4,Base Active Perks | Effect | Cost per Stage | Stages
