tier,published,title,file,words,url
combat-news,,2023 Global Reveal–Unveiling the New Arcanist Class,combat-news_2023_Global_Reveal_Unveiling_the_New_Arcanist_Class.md,586,https://www.elderscrollsonline.com/en-us/news/post/63493
combat-news,,2025 ESO Direct—Update 46 Preview,combat-news_2025_ESO_Direct_Update_46_Preview.md,824,https://www.elderscrollsonline.com/en-us/news/post/67841
combat-news,,An Update on the Warden and Class Refresh,combat-news_An_Update_on_the_Warden_and_Class_Refresh.md,1266,https://www.elderscrollsonline.com/en-us/news/post/70311
combat-news,,Anniversary Spotlight—Earn a Multi-Rider Mount with Scribing!,combat-news_Anniversary_Spotlight_Earn_a_Multi-Rider_Mount_with_Scribing.md,508,https://www.elderscrollsonline.com/en-us/news/post/66071
combat-news,,Announcing The Elder Scrolls Online: Lost Depths & Update 35,combat-news_Announcing_The_Elder_Scrolls_Online_Lost_Depths_Update_35.md,630,https://www.elderscrollsonline.com/en-us/news/post/62487
combat-news,,Begin Your Journey into the Arcanist Class with This New Developer Video,combat-news_Begin_Your_Journey_into_the_Arcanist_Class_with_This_New_Dev.md,178,https://www.elderscrollsonline.com/en-us/news/post/64175
combat-news,,Capture New Collectibles during the Whitestrake’s Mayhem PvP Event!,combat-news_Capture_New_Collectibles_during_the_Whitestrake_s_Mayhem_PvP.md,1172,https://www.elderscrollsonline.com/en-us/news/post/69275
combat-news,,Catch Up on the Class Identity Refresh Announcement & Livestream,combat-news_Catch_Up_on_the_Class_Identity_Refresh_Announcement_Livestre.md,214,https://www.elderscrollsonline.com/en-us/news/post/69089
combat-news,,Check Out What You Missed During the Update 44 Preview Livestream,combat-news_Check_Out_What_You_Missed_During_the_Update_44_Preview_Lives.md,136,https://www.elderscrollsonline.com/en-us/news/post/66715
combat-news,,Community Guides Special—Necrom & Update 38,combat-news_Community_Guides_Special_Necrom_Update_38.md,574,https://www.elderscrollsonline.com/en-us/news/post/64323
combat-news,,Community Guides–Fallen Banners & Update 45,combat-news_Community_Guides_Fallen_Banners_Update_45.md,528,https://www.elderscrollsonline.com/en-us/news/post/67725
combat-news,,Community Guides–Seasons of the Worm Cult Part 1 & Update 46,combat-news_Community_Guides_Seasons_of_the_Worm_Cult_Part_1_Update_46.md,592,https://www.elderscrollsonline.com/en-us/news/post/68263
combat-news,,Community Guides–Whitestrake’s Mayhem PvP Special,combat-news_Community_Guides_Whitestrake_s_Mayhem_PvP_Special.md,552,https://www.elderscrollsonline.com/en-us/news/post/66431
combat-news,,Community Guides—Firesong & Update 36,combat-news_Community_Guides_Firesong_Update_36.md,565,https://www.elderscrollsonline.com/en-us/news/post/63257
combat-news,,Community Guides—Gold Road and Update 42,combat-news_Community_Guides_Gold_Road_and_Update_42.md,692,https://www.elderscrollsonline.com/en-us/news/post/66287
